o1,o2,>,=,<,scene,freq,typical
ceiling recessed light-aperture,pendant lamp-shade,277,18,0,kitchen,295,>
ceiling recessed light-aperture,picture,131,0,0,kitchen,131,>
ceiling recessed light-aperture,plant,157,0,14,kitchen,171,>
ceiling recessed light-aperture,window,336,13,0,kitchen,349,>
ceiling recessed light-aperture,window-pane,224,14,0,living_room,238,>
ceiling recessed light-highlight,cushion,479,0,0,living_room,479,>
ceiling recessed light-highlight,drawer-handle,254,0,0,kitchen,254,>
ceiling recessed light-highlight,picture,51,80,0,kitchen,131,">,="
ceiling recessed light-highlight,side table,130,0,0,living_room,130,>
ceiling recessed light-highlight,sofa-back pillow,234,0,0,living_room,234,>
ceiling recessed light-highlight,table lamp,151,0,0,living_room,151,>
ceiling recessed light-highlight,table lamp-column,134,0,0,living_room,134,>
ceiling recessed light-highlight,table lamp-shade,140,0,0,living_room,140,>
ceiling recessed light-highlight,wall,21,61,39,bathroom,121,"=,<"
ceiling recessed light-highlight,window,76,28,17,kitchen,121,>
ceiling recessed light-light source,arm-inside arm,386,0,0,living_room,386,>
ceiling recessed light-light source,arm-outside arm,251,0,0,living_room,251,>
ceiling recessed light-light source,armchair-arm,487,0,0,living_room,487,>
ceiling recessed light-light source,armchair-back,137,0,0,living_room,137,>
ceiling recessed light-light source,armchair-back pillow,173,0,0,living_room,173,>
ceiling recessed light-light source,armchair-leg,219,0,0,living_room,219,>
ceiling recessed light-light source,armchair-seat base,124,0,0,living_room,124,>
ceiling recessed light-light source,armchair-seat cushion,227,0,0,living_room,227,>
ceiling recessed light-light source,bottle,378,0,0,kitchen,378,>
ceiling recessed light-light source,cabinet,78,676,130,bathroom,884,=
ceiling recessed light-light source,cabinet-door,46,389,168,bathroom,603,"=,<"
ceiling recessed light-light source,cabinet-drawer,105,0,0,bathroom,105,>
ceiling recessed light-light source,ceiling fan-blade,38,11,53,kitchen,102,">,<"
ceiling recessed light-light source,ceiling recessed light,48,75,52,bathroom,175,">,=,<"
ceiling recessed light-light source,ceiling recessed light-aperture,142,32,210,kitchen,384,">,<"
ceiling recessed light-light source,chair,910,0,0,kitchen,910,>
ceiling recessed light-light source,chandelier-shade,122,0,31,bathroom,153,>
ceiling recessed light-light source,chest of drawers,179,0,0,kitchen,179,>
ceiling recessed light-light source,chest of drawers-drawer,337,0,0,kitchen,337,>
ceiling recessed light-light source,coffee table-leg,204,0,0,living_room,204,>
ceiling recessed light-light source,cushion,109,0,0,kitchen,109,>
ceiling recessed light-light source,door-muntin,231,0,42,kitchen,273,>
ceiling recessed light-light source,door-pane,464,26,38,kitchen,528,>
ceiling recessed light-light source,flowers,146,0,0,kitchen,146,>
ceiling recessed light-light source,light switch,134,0,0,kitchen,134,>
ceiling recessed light-light source,night table,154,0,0,bedroom,154,>
ceiling recessed light-light source,pendant lamp,142,370,154,kitchen,666,">,=,<"
ceiling recessed light-light source,pendant lamp-cord,84,103,83,kitchen,270,">,=,<"
ceiling recessed light-light source,pendant lamp-light source,316,14,44,kitchen,374,>
ceiling recessed light-light source,pendant lamp-shade,583,56,61,kitchen,700,>
ceiling recessed light-light source,pillow,216,0,0,bedroom,216,>
ceiling recessed light-light source,sofa,133,0,0,kitchen,133,>
ceiling recessed light-light source,wall,128,142,113,bathroom,383,">,=,<"
ceiling recessed light-light source,window,35,62,38,bathroom,135,">,=,<"
ceiling spotlight,cabinet,450,46,0,kitchen,496,>
ceiling spotlight,ceiling,12,73,29,kitchen,114,=
ceiling spotlight,ceiling spotlight-light source,81,40,30,kitchen,151,">,="
ceiling spotlight,ceiling spotlight-shade,40,96,28,kitchen,164,=
ceiling spotlight,chair,136,0,0,kitchen,136,>
ceiling spotlight,cushion,404,0,0,living_room,404,>
ceiling spotlight,sofa,139,0,0,living_room,139,>
ceiling spotlight,wall,199,141,24,kitchen,364,">,="
ceiling spotlight-light source,ceiling spotlight,30,40,81,kitchen,151,"=,<"
ceiling spotlight-light source,cushion,251,0,0,living_room,251,>
ceiling spotlight-light source,wall,70,63,14,kitchen,147,">,="
ceiling spotlight-shade,ceiling spotlight,28,96,40,kitchen,164,=
ceiling spotlight-shade,cushion,195,0,0,living_room,195,>
ceiling spotlight-shade,wall,67,71,16,kitchen,154,">,="
ceiling-beam,picture,180,0,0,living_room,180,>
ceiling-beam,window-pane,156,0,0,living_room,156,>
ceramic box,cushion,33,11,59,living_room,103,">,<"
chair,armchair,155,17,54,kitchen,226,>
chair,armchair-arm,310,131,32,living_room,473,>
chair,back-spindle,112,323,39,kitchen,474,=
chair,bed-headboard,0,57,65,bedroom,122,"=,<"
chair,book,100,22,19,kitchen,141,>
chair,books,20,43,60,kitchen,123,"=,<"
chair,box,10,22,85,kitchen,117,<
chair,cabinet,318,16,1558,bathroom,1892,<
chair,cabinet-door,222,322,1310,kitchen,1854,<
chair,cabinet-drawer,189,15,17,bathroom,221,>
chair,ceiling recessed light-aperture,0,0,326,kitchen,326,<
chair,ceiling recessed light-light source,0,0,910,kitchen,910,<
chair,ceiling spotlight,0,0,136,kitchen,136,<
chair,chair-back,25,351,23,kitchen,399,=
chair,chair-seat,86,147,0,kitchen,233,">,="
chair,chest of drawers,37,57,15,kitchen,109,">,="
chair,chest of drawers-drawer,114,106,41,kitchen,261,">,="
chair,coffee table,372,136,14,living_room,522,>
chair,curtain,0,97,18,bathroom,115,=
chair,cushion,1066,21,27,kitchen,1114,>
chair,door-handle,167,117,575,kitchen,859,<
chair,door-knob,117,89,624,kitchen,830,<
chair,door-pane,26,23,478,kitchen,527,<
chair,drawer-handle,250,134,110,kitchen,494,">,=,<"
chair,drawer-knob,173,16,17,bathroom,206,>
chair,floor lamp,0,74,159,living_room,233,"=,<"
chair,floor lamp-shade,0,10,225,living_room,235,<
chair,flowerpot,14,34,72,kitchen,120,"=,<"
chair,flowers,43,22,108,kitchen,173,<
chair,glass,15,43,116,kitchen,174,<
chair,night table,56,109,21,bedroom,186,">,="
chair,outlet,55,45,255,kitchen,355,<
chair,pendant lamp,0,0,485,kitchen,485,<
chair,picture,60,227,52,bathroom,339,=
chair,pillow,18,134,65,bedroom,217,"=,<"
chair,plant,11,54,243,kitchen,308,<
chair,railing,10,53,74,living_room,137,"=,<"
chair,sofa,194,39,23,kitchen,256,>
chair,table,119,330,27,kitchen,476,=
chair,table lamp-base,107,143,85,living_room,335,">,=,<"
chair,table lamp-column,70,286,25,kitchen,381,=
chair,table lamp-highlight,0,70,209,living_room,279,<
chair,table lamp-light source,0,12,306,living_room,318,<
chair,table lamp-shade,12,100,29,kitchen,141,=
chair,wall,29,33,128,bathroom,190,<
chair,window-pane,17,20,235,kitchen,272,<
chair-apron,chair-leg,186,136,17,kitchen,339,">,="
chair-arm,cushion,19,42,69,living_room,130,"=,<"
chair-back,back-spindle,39,290,0,kitchen,329,=
chair-back,cabinet,20,127,238,kitchen,385,"=,<"
chair-back,cabinet-door,46,112,385,kitchen,543,<
chair-back,cabinet-drawer,22,46,56,kitchen,124,"=,<"
chair-back,ceiling recessed light,0,0,182,kitchen,182,<
chair-back,chair,23,351,25,kitchen,399,=
chair-back,cushion,93,130,26,living_room,249,">,="
chair-back,door-handle,19,25,164,kitchen,208,<
chair-back,door-pane,0,0,102,kitchen,102,<
chair-back,drawer-handle,53,55,37,kitchen,145,">,=,<"
chair-back,window,0,10,98,kitchen,108,<
chair-back,window-pane,0,12,111,kitchen,123,<
chair-leg,armchair-arm,28,34,119,living_room,181,<
chair-leg,armchair-leg,58,23,67,living_room,148,">,<"
chair-leg,back-rail,0,0,373,kitchen,373,<
chair-leg,back-spindle,0,0,582,kitchen,582,<
chair-leg,ceiling recessed light,0,0,301,kitchen,301,<
chair-leg,chair-apron,17,136,186,kitchen,339,"=,<"
chair-leg,chest of drawers-drawer,0,30,152,kitchen,182,<
chair-leg,coffee table,24,43,35,living_room,102,">,=,<"
chair-leg,cushion,14,103,14,bathroom,131,=
chair-leg,door-handle,0,10,361,kitchen,371,<
chair-leg,door-knob,12,0,429,kitchen,441,<
chair-leg,door-pane,0,0,147,kitchen,147,<
chair-leg,drawer-handle,17,39,232,kitchen,288,<
chair-leg,outlet,0,0,109,kitchen,109,<
chair-leg,pillow,0,26,107,bedroom,133,<
chair-leg,table,0,19,127,kitchen,146,<
chair-leg,table lamp-column,0,0,126,living_room,126,<
chair-leg,window-pane,0,0,166,kitchen,166,<
chair-seat,cabinet-door,0,35,210,kitchen,245,<
chair-seat,chair,0,147,86,kitchen,233,"=,<"
chair-seat,cushion,22,37,98,living_room,157,<
chair-seat,door-handle,0,0,110,kitchen,110,<
chair-stretcher,back-spindle,0,0,158,kitchen,158,<
chandelier,armchair,103,0,0,living_room,103,>
chandelier,curtain,66,74,0,living_room,140,">,="
chandelier,cushion,224,0,0,living_room,224,>
chandelier-arm,cushion,153,0,0,living_room,153,>
chandelier-bulb,cushion,102,0,0,living_room,102,>
chandelier-light source,armchair,295,0,0,living_room,295,>
chandelier-light source,chandelier-shade,44,41,36,bathroom,121,">,=,<"
chandelier-light source,curtain,138,86,13,living_room,237,">,="
chandelier-light source,cushion,270,0,0,living_room,270,>
chandelier-light source,flowers,118,0,0,living_room,118,>
chandelier-light source,table lamp,182,0,0,living_room,182,>
chandelier-light source,table lamp-base,101,0,0,living_room,101,>
chandelier-light source,table lamp-column,166,0,0,living_room,166,>
chandelier-light source,table lamp-shade,205,0,0,living_room,205,>
chandelier-light source,wall,83,47,13,bathroom,143,">,="
chandelier-shade,armchair,301,0,0,living_room,301,>
chandelier-shade,armchair-arm,137,0,0,living_room,137,>
chandelier-shade,ceiling,38,20,75,bathroom,133,">,<"
chandelier-shade,ceiling recessed light,30,12,164,bathroom,206,<
chandelier-shade,ceiling recessed light-light source,31,0,122,bathroom,153,<
chandelier-shade,chandelier-light source,36,41,44,bathroom,121,">,=,<"
chandelier-shade,curtain,10,159,33,bathroom,202,=
chandelier-shade,cushion,410,0,0,living_room,410,>
chandelier-shade,picture,37,72,66,kitchen,175,">,=,<"
chandelier-shade,table lamp-column,151,0,0,living_room,151,>
chandelier-shade,table lamp-shade,171,0,0,living_room,171,>
chest of drawers,cabinet,10,298,474,kitchen,782,"=,<"
chest of drawers,ceiling,0,0,121,kitchen,121,<
chest of drawers,ceiling recessed light,0,0,274,kitchen,274,<
chest of drawers,ceiling recessed light-light source,0,0,179,kitchen,179,<
chest of drawers,chair,15,57,37,kitchen,109,"=,<"
chest of drawers,chest of drawers-drawer,94,14,0,bathroom,108,>
chest of drawers,door-handle,23,135,306,kitchen,464,"=,<"
chest of drawers,drawer-handle,140,244,28,kitchen,412,">,="
chest of drawers,drawer-knob,65,147,21,kitchen,233,">,="
chest of drawers,floor,81,38,0,kitchen,119,">,="
chest of drawers,table lamp,0,47,56,bedroom,103,"=,<"
chest of drawers,window,0,18,131,kitchen,149,<
chest of drawers-drawer,bed,17,103,34,bedroom,154,=
chest of drawers-drawer,bed-headboard,10,34,130,bedroom,174,<
chest of drawers-drawer,bed-leg,155,0,0,bedroom,155,>
chest of drawers-drawer,cabinet,37,12,1307,bathroom,1356,<
chest of drawers-drawer,cabinet-door,121,12,1784,bathroom,1917,<
chest of drawers-drawer,cabinet-drawer,12,147,292,bathroom,451,"=,<"
chest of drawers-drawer,cabinet-skirt,96,13,0,kitchen,109,>
chest of drawers-drawer,ceiling recessed light,0,0,566,kitchen,566,<
chest of drawers-drawer,ceiling recessed light-light source,0,0,337,kitchen,337,<
chest of drawers-drawer,chair,41,106,114,kitchen,261,"=,<"
chest of drawers-drawer,chair-leg,152,30,0,kitchen,182,>
chest of drawers-drawer,chest of drawers,0,14,94,bathroom,108,<
chest of drawers-drawer,chest of drawers-leg,103,0,0,bedroom,103,>
chest of drawers-drawer,chest of drawers-skirt,106,0,0,kitchen,106,>
chest of drawers-drawer,cushion,100,121,148,bedroom,369,">,=,<"
chest of drawers-drawer,door,0,10,129,kitchen,139,<
chest of drawers-drawer,door-handle,97,139,1124,kitchen,1360,<
chest of drawers-drawer,door-knob,98,54,767,kitchen,919,<
chest of drawers-drawer,door-pane,0,0,240,kitchen,240,<
chest of drawers-drawer,drawer-handle,22,13,515,bathroom,550,<
chest of drawers-drawer,drawer-knob,11,178,11,bathroom,200,=
chest of drawers-drawer,floor,14,92,0,bathroom,106,=
chest of drawers-drawer,flowerpot,23,14,84,kitchen,121,<
chest of drawers-drawer,jar,0,0,101,kitchen,101,<
chest of drawers-drawer,night table,64,64,73,bedroom,201,">,=,<"
chest of drawers-drawer,outlet,15,0,346,kitchen,361,<
chest of drawers-drawer,pendant lamp,0,0,226,kitchen,226,<
chest of drawers-drawer,picture,21,0,81,kitchen,102,<
chest of drawers-drawer,pillow,50,85,172,bedroom,307,"=,<"
chest of drawers-drawer,plant,0,13,189,kitchen,202,<
chest of drawers-drawer,pot,0,0,221,kitchen,221,<
chest of drawers-drawer,sash-pane,0,0,106,kitchen,106,<
chest of drawers-drawer,table lamp,0,62,280,bedroom,342,<
chest of drawers-drawer,table lamp-base,29,16,70,bedroom,115,<
chest of drawers-drawer,table lamp-column,30,36,168,bedroom,234,<
chest of drawers-drawer,table lamp-highlight,17,17,67,bedroom,101,<
chest of drawers-drawer,table lamp-shade,0,25,209,bedroom,234,<
chest of drawers-drawer,vase,12,11,93,kitchen,116,<
chest of drawers-leg,chest of drawers-drawer,0,0,103,bedroom,103,<
chest of drawers-skirt,chest of drawers-drawer,0,0,106,kitchen,106,<
clock,armchair,97,15,0,living_room,112,>
clock,bed,0,83,18,bedroom,101,=
clock,bed-headboard,0,33,130,bedroom,163,<
clock,books,90,14,16,living_room,120,>
clock,cabinet,160,76,54,kitchen,290,">,="
clock,ceiling recessed light,0,0,100,kitchen,100,<
clock,curtain,12,52,36,kitchen,100,"=,<"
clock,cushion,198,21,129,living_room,348,">,<"
clock,door-handle,90,13,15,kitchen,118,>
clock,door-knob,84,0,48,kitchen,132,">,<"
clock,door-pane,37,23,90,kitchen,150,<
clock,night table,136,105,29,bedroom,270,">,="
clock,night table-drawer,184,0,0,bedroom,184,>
clock,picture,22,78,12,kitchen,112,=
clock,pillow,59,85,204,bedroom,348,<
clock,table lamp,67,19,231,living_room,317,<
clock,table lamp-base,37,55,24,living_room,116,">,=,<"
clock,table lamp-column,61,20,155,living_room,236,<
clock,table lamp-highlight,27,21,173,living_room,221,<
coffee table,armchair,15,220,276,living_room,511,"=,<"
coffee table,armchair-arm,16,134,157,living_room,307,"=,<"
coffee table,armchair-leg,61,52,10,living_room,123,">,="
coffee table,ceiling,0,0,588,living_room,588,<
coffee table,chair,14,136,372,living_room,522,<
coffee table,chair-leg,35,43,24,living_room,102,">,=,<"
coffee table,coffee table-leg,71,209,0,living_room,280,=
coffee table,curtain,0,0,565,living_room,565,<
coffee table,cushion,34,315,1207,living_room,1556,<
coffee table,door,0,0,263,living_room,263,<
coffee table,door-pane,0,14,232,living_room,246,<
coffee table,floor,30,507,71,living_room,608,=
coffee table,floor lamp,0,0,153,living_room,153,<
coffee table,flowers,0,16,246,living_room,262,<
coffee table,mirror,0,0,109,living_room,109,<
coffee table,picture,0,29,1129,living_room,1158,<
coffee table,plant,0,39,486,living_room,525,<
coffee table,sofa,0,262,312,living_room,574,"=,<"
coffee table,sofa-arm,16,185,214,living_room,415,"=,<"
coffee table,sofa-seat cushion,22,376,167,living_room,565,"=,<"
coffee table,table lamp,0,11,455,living_room,466,<
coffee table,table lamp-base,0,25,166,living_room,191,<
coffee table,table lamp-column,0,15,334,living_room,349,<
coffee table,table lamp-highlight,0,0,146,living_room,146,<
coffee table,table lamp-light source,0,0,164,living_room,164,<
coffee table,table lamp-shade,0,0,396,living_room,396,<
coffee table,vase,10,114,353,living_room,477,<
coffee table-leg,arm-inside arm,0,26,272,living_room,298,<
coffee table-leg,armchair,0,28,133,living_room,161,<
coffee table-leg,armchair-arm,0,44,228,living_room,272,<
coffee table-leg,cabinet,0,0,147,living_room,147,<
coffee table-leg,ceiling,0,0,250,living_room,250,<
coffee table-leg,ceiling recessed light,0,0,299,living_room,299,<
coffee table-leg,ceiling recessed light-light source,0,0,204,living_room,204,<
coffee table-leg,coffee table,0,209,71,living_room,280,=
coffee table-leg,curtain,0,0,288,living_room,288,<
coffee table-leg,cushion,0,15,701,living_room,716,<
coffee table-leg,door-pane,0,0,217,living_room,217,<
coffee table-leg,floor,0,174,74,living_room,248,=
coffee table-leg,picture,0,0,488,living_room,488,<
coffee table-leg,side table,0,38,144,living_room,182,<
coffee table-leg,sofa,0,18,215,living_room,233,<
coffee table-leg,sofa-arm,0,42,345,living_room,387,<
coffee table-leg,sofa-back pillow,0,0,471,living_room,471,<
coffee table-leg,sofa-seat cushion,11,88,450,living_room,549,<
coffee table-leg,table lamp,0,0,174,living_room,174,<
coffee table-leg,table lamp-column,0,0,146,living_room,146,<
coffee table-leg,table lamp-shade,0,0,159,living_room,159,<
coffee table-leg,wall,0,0,782,living_room,782,<
coffee table-leg,window,0,0,401,living_room,401,<
coffee table-leg,window-pane,0,0,293,living_room,293,<
coffee table-top,cushion,0,48,283,living_room,331,<
coffee table-top,wall,0,0,364,living_room,364,<
column,armchair,84,17,0,living_room,101,>
column,cushion,188,27,0,living_room,215,>
column,picture,60,99,35,living_room,194,">,="
column,wall,32,42,34,bathroom,108,">,=,<"
console table,wall,0,28,110,living_room,138,<
countertop,drawer-knob,137,13,0,bathroom,150,>
countertop,wall,46,268,731,bathroom,1045,<
cup,wall,18,16,98,bathroom,132,<
curtain,arm-arm panel,190,0,0,living_room,190,>
curtain,arm-inside arm,544,0,0,living_room,544,>
curtain,arm-outside arm,319,0,0,living_room,319,>
curtain,armchair,775,87,0,living_room,862,>
curtain,armchair-arm,682,0,0,living_room,682,>
curtain,armchair-back,198,25,0,living_room,223,>
curtain,armchair-back pillow,174,16,0,living_room,190,>
curtain,armchair-leg,370,0,0,living_room,370,>
curtain,armchair-seat base,185,0,0,living_room,185,>
curtain,armchair-seat cushion,307,0,0,living_room,307,>
curtain,bathtub,184,23,0,bathroom,207,>
curtain,bed,18,256,0,living_room,274,=
curtain,bed-footboard,140,20,0,bedroom,160,>
curtain,bed-headboard,419,297,0,bedroom,716,">,="
curtain,bed-leg,240,0,0,bedroom,240,>
curtain,blind,19,104,14,living_room,137,=
curtain,books,20,179,25,kitchen,224,=
curtain,box,29,65,13,bathroom,107,">,="
curtain,cabinet,145,46,80,bathroom,271,">,<"
curtain,cabinet-door,81,14,75,bathroom,170,">,<"
curtain,cabinet-drawer,138,0,0,bathroom,138,>
curtain,candle holder,294,208,12,living_room,514,">,="
curtain,carpet,404,0,0,living_room,404,>
curtain,ceiling,0,29,104,bathroom,133,<
curtain,ceiling fan,0,16,145,living_room,161,<
curtain,ceiling fan-blade,0,19,120,living_room,139,<
curtain,chair,18,97,0,bathroom,115,=
curtain,chandelier,0,74,66,living_room,140,"=,<"
curtain,chandelier-light source,13,86,138,living_room,237,"=,<"
curtain,chandelier-shade,33,159,10,bathroom,202,=
curtain,clock,36,52,12,kitchen,100,">,="
curtain,coffee table,565,0,0,living_room,565,>
curtain,coffee table-leg,288,0,0,living_room,288,>
curtain,cushion,18,92,0,kitchen,110,=
curtain,door,25,84,0,bathroom,109,=
curtain,door-handle,56,49,16,bathroom,121,">,="
curtain,door-pane,40,76,17,kitchen,133,">,="
curtain,double door,11,128,0,living_room,139,=
curtain,double door-door,16,128,0,living_room,144,=
curtain,dresser,100,23,0,bedroom,123,>
curtain,dresser-drawer,352,24,0,bedroom,376,>
curtain,figurine,19,64,33,kitchen,116,"=,<"
curtain,fireplace,207,145,0,living_room,352,">,="
curtain,floor,258,10,0,bathroom,268,>
curtain,floor lamp,117,133,0,living_room,250,">,="
curtain,floor lamp-column,104,36,0,living_room,140,>
curtain,floor lamp-shade,107,112,12,living_room,231,">,="
curtain,mirror,12,153,12,bathroom,177,=
curtain,night table,1049,67,0,bedroom,1116,>
curtain,night table-drawer,442,15,0,bedroom,457,>
curtain,ottoman,216,0,0,living_room,216,>
curtain,picture-frame,10,116,20,kitchen,146,=
curtain,pillow,10,234,0,living_room,244,=
curtain,plate,41,77,15,kitchen,133,">,="
curtain,sconce,20,47,39,bathroom,106,"=,<"
curtain,sconce-highlight,10,104,47,living_room,161,"=,<"
curtain,sculpture,71,35,0,living_room,106,">,="
curtain,shelves,43,108,0,living_room,151,=
curtain,shelves-shelf,53,62,0,living_room,115,">,="
curtain,side table,811,23,0,living_room,834,>
curtain,sofa-arm,709,10,0,living_room,719,>
curtain,sofa-leg,198,0,0,living_room,198,>
curtain,sofa-seat base,241,0,0,living_room,241,>
curtain,sofa-seat cushion,955,0,0,living_room,955,>
curtain,table lamp,20,401,0,kitchen,421,=
curtain,table lamp-base,361,15,0,living_room,376,>
curtain,table lamp-column,14,123,0,kitchen,137,=
curtain,table lamp-highlight,178,126,22,living_room,326,">,="
curtain,table lamp-light source,182,128,0,living_room,310,">,="
curtain,table lamp-shade,15,316,12,kitchen,343,=
curtain,television,130,117,0,living_room,247,">,="
curtain,upper sash-pane,42,68,0,kitchen,110,">,="
curtain,upper sash-rail,45,45,14,living_room,104,">,="
curtain,vase,43,178,31,bathroom,252,=
curtain,wall,44,741,55,bathroom,840,=
curtain,window,12,138,10,bathroom,160,=
curtain,window-pane,115,287,70,living_room,472,=
curtain rod,cushion,148,0,0,living_room,148,>
curtain rod,picture,107,13,0,living_room,120,>
curtain rod,wall,11,88,11,bathroom,110,=
curtain rod,window,106,32,0,living_room,138,>
cushion,arm-arm panel,317,179,10,living_room,506,">,="
cushion,arm-inside arm,680,674,78,living_room,1432,">,="
cushion,arm-outside arm,744,121,0,living_room,865,>
cushion,armchair,200,1358,260,living_room,1818,=
cushion,armchair-arm,660,544,126,living_room,1330,">,="
cushion,armchair-back,48,270,122,living_room,440,"=,<"
cushion,armchair-back pillow,39,210,127,living_room,376,"=,<"
cushion,armchair-leg,677,34,0,living_room,711,>
cushion,armchair-seat base,305,40,0,living_room,345,>
cushion,armchair-seat cushion,397,128,28,living_room,553,>
cushion,basket,11,44,88,kitchen,143,"=,<"
cushion,bed-footboard,107,89,17,bedroom,213,">,="
cushion,bed-headboard,0,417,516,bedroom,933,"=,<"
cushion,bed-leg,401,0,0,bedroom,401,>
cushion,blanket,94,164,67,living_room,325,">,=,<"
cushion,blind,0,14,554,living_room,568,<
cushion,book,257,46,150,living_room,453,">,<"
cushion,bookcase-shelf,0,0,137,living_room,137,<
cushion,books,414,180,1290,living_room,1884,<
cushion,bottle,49,54,24,kitchen,127,">,="
cushion,bowl,341,117,13,kitchen,471,>
cushion,box,280,119,179,living_room,578,">,=,<"
cushion,cabinet,38,17,46,kitchen,101,">,<"
cushion,cabinet-drawer,10,115,132,bathroom,257,"=,<"
cushion,candle,39,40,37,living_room,116,">,=,<"
cushion,candle holder,227,294,605,living_room,1126,">,=,<"
cushion,carpet,947,110,15,living_room,1072,>
cushion,ceiling fan,0,0,326,living_room,326,<
cushion,ceiling fan-blade,0,0,355,living_room,355,<
cushion,ceiling recessed light,0,0,116,kitchen,116,<
cushion,ceiling recessed light-highlight,0,0,479,living_room,479,<
cushion,ceiling recessed light-light source,0,0,109,kitchen,109,<
cushion,ceiling spotlight,0,0,404,living_room,404,<
cushion,ceiling spotlight-light source,0,0,251,living_room,251,<
cushion,ceiling spotlight-shade,0,0,195,living_room,195,<
cushion,ceramic box,59,11,33,living_room,103,">,<"
cushion,chair,27,21,1066,kitchen,1114,<
cushion,chair-arm,69,42,19,living_room,130,">,="
cushion,chair-back,26,130,93,living_room,249,"=,<"
cushion,chair-leg,14,103,14,bathroom,131,=
cushion,chair-seat,98,37,22,living_room,157,>
cushion,chandelier,0,0,224,living_room,224,<
cushion,chandelier-arm,0,0,153,living_room,153,<
cushion,chandelier-bulb,0,0,102,living_room,102,<
cushion,chandelier-light source,0,0,270,living_room,270,<
cushion,chandelier-shade,0,0,410,living_room,410,<
cushion,chest of drawers-drawer,148,121,100,bedroom,369,">,=,<"
cushion,clock,129,21,198,living_room,348,">,<"
cushion,coffee table,1207,315,34,living_room,1556,>
cushion,coffee table-leg,701,15,0,living_room,716,>
cushion,coffee table-top,283,48,0,living_room,331,>
cushion,column,0,27,188,living_room,215,<
cushion,curtain,0,92,18,kitchen,110,=
cushion,curtain rod,0,0,148,living_room,148,<
cushion,door,0,116,18,kitchen,134,=
cushion,door frame,0,12,197,living_room,209,<
cushion,door-door frame,0,11,235,living_room,246,<
cushion,door-knob,47,48,29,kitchen,124,">,=,<"
cushion,door-pane,12,60,615,living_room,687,<
cushion,double door,0,63,215,living_room,278,<
cushion,double door-door,0,36,210,living_room,246,<
cushion,drawer-handle,33,43,35,kitchen,111,">,=,<"
cushion,drawer-knob,16,29,62,bathroom,107,"=,<"
cushion,dresser,13,96,15,bedroom,124,=
cushion,dresser-drawer,218,105,12,living_room,335,">,="
cushion,figurine,112,96,467,living_room,675,<
cushion,fireplace,0,443,346,living_room,789,"=,<"
cushion,floor,12,748,83,kitchen,843,=
cushion,floor lamp,0,12,537,kitchen,549,<
cushion,floor lamp-column,0,12,283,kitchen,295,<
cushion,flowerpot,309,186,275,living_room,770,">,=,<"
cushion,flowers,84,243,614,living_room,941,<
cushion,glass,80,23,29,kitchen,132,>
cushion,light switch,10,15,193,living_room,218,<
cushion,lower sash-pane,0,11,125,living_room,136,<
cushion,lower sash-rail,0,15,132,living_room,147,<
cushion,lower sash-stile,0,0,112,living_room,112,<
cushion,mirror,0,24,497,living_room,521,<
cushion,music system,29,20,81,living_room,130,<
cushion,night table,988,577,73,bedroom,1638,">,="
cushion,night table-drawer,826,94,31,bedroom,951,>
cushion,ottoman,276,97,24,living_room,397,>
cushion,outlet,16,88,82,kitchen,186,"=,<"
cushion,pendant lamp-canopy,0,0,148,living_room,148,<
cushion,picture,212,340,36,kitchen,588,">,="
cushion,picture-frame,0,0,312,living_room,312,<
cushion,pillow,156,12,489,living_room,657,<
cushion,plant,125,446,25,kitchen,596,=
cushion,plant pot,127,78,136,living_room,341,">,=,<"
cushion,plate,84,38,11,kitchen,133,">,="
cushion,pot,47,37,157,living_room,241,<
cushion,railing,0,37,202,living_room,239,<
cushion,remote control,105,13,0,living_room,118,>
cushion,sash-muntin,0,0,110,living_room,110,<
cushion,sash-pane,0,29,269,living_room,298,<
cushion,sconce,0,0,446,living_room,446,<
cushion,sconce-backplate,0,0,154,living_room,154,<
cushion,sconce-highlight,0,12,282,living_room,294,<
cushion,sconce-light source,0,0,273,living_room,273,<
cushion,sconce-shade,0,0,195,living_room,195,<
cushion,sculpture,19,41,129,living_room,189,<
cushion,shelf,0,12,168,living_room,180,<
cushion,shelves,0,122,252,living_room,374,"=,<"
cushion,shelves-shelf,13,13,455,living_room,481,<
cushion,side table,867,852,170,living_room,1889,">,="
cushion,side table-leg,140,21,0,living_room,161,>
cushion,sofa,65,30,244,kitchen,339,<
cushion,sofa-arm,822,1167,125,living_room,2114,">,="
cushion,sofa-back,66,276,69,living_room,411,=
cushion,sofa-back pillow,134,16,715,kitchen,865,<
cushion,sofa-leg,810,0,0,living_room,810,>
cushion,sofa-seat base,816,56,0,living_room,872,>
cushion,sofa-seat cushion,2410,484,76,living_room,2970,>
cushion,speaker,34,47,108,living_room,189,"=,<"
cushion,stool,132,66,39,living_room,237,">,="
cushion,table,157,291,292,living_room,740,">,=,<"
cushion,table lamp,23,285,1678,living_room,1986,<
cushion,table lamp-base,245,299,315,living_room,859,">,=,<"
cushion,table lamp-column,44,353,1145,living_room,1542,<
cushion,table lamp-highlight,54,84,554,living_room,692,<
cushion,table lamp-light source,0,87,676,living_room,763,<
cushion,table lamp-shade,17,44,1624,living_room,1685,<
cushion,television,0,126,395,living_room,521,<
cushion,toy,12,32,89,living_room,133,<
cushion,tray,162,29,12,living_room,203,>
