object,entropy,total,red,orange,yellow,brown,green,blue,purple,pink,white,gray,black
toilet handle,0.6093,669,0.0045,0.0015,0.0194,0.006,0.0015,0.003,0.0,0.0,0.0717,0.8565,0.0359
chocolate pastry,0.6095,211,0.0047,0.0047,0.0427,0.8578,0.0142,0.0,0.0,0.0,0.0616,0.0,0.0142
finger,0.6095,2025,0.003,0.0049,0.0104,0.0346,0.0,0.002,0.0044,0.8711,0.0454,0.0079,0.0163
elmo,0.6096,19,0.8421,0.0526,0.0526,0.0,0.0,0.0,0.0,0.0526,0.0,0.0,0.0
jay,0.6096,19,0.0,0.0,0.0,0.0526,0.0,0.8421,0.0,0.0,0.0,0.0526,0.0526
playstation controller,0.6096,19,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0526,0.8421
leather riding boot,0.61,354,0.0028,0.0,0.0,0.2599,0.0,0.0,0.0,0.0,0.0,0.0028,0.7345
metal spatula,0.6104,63,0.0,0.0,0.0159,0.0159,0.0317,0.0,0.0,0.0,0.0,0.8413,0.0952
workbench,0.6109,10,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
grape vine stalk,0.6109,10,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0
dread lock,0.6109,10,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7
buttonhole,0.6109,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7
bramble,0.6109,10,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3
fence eating,0.6109,10,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3
crabapple,0.6109,10,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
iron railing,0.611,182,0.0,0.0,0.011,0.011,0.022,0.0055,0.0,0.0,0.033,0.0549,0.8626
foil,0.6113,143,0.007,0.0,0.2587,0.0,0.0,0.0,0.0,0.0,0.0,0.7343,0.0
leather saddle,0.6118,150,0.0067,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0067,0.2267
afternoon sky,0.612,9791,0.0,0.0099,0.005,0.0004,0.0005,0.8524,0.0003,0.0138,0.0619,0.0555,0.0003
pine tree branch,0.612,159,0.0,0.0,0.0,0.8239,0.1195,0.0,0.0,0.0,0.0,0.0189,0.0377
loaf bread,0.6122,71,0.0,0.0141,0.0282,0.8451,0.0,0.0,0.0,0.0,0.0845,0.0282,0.0
wood picnic table,0.6125,259,0.0,0.0,0.0,0.8263,0.0193,0.0,0.0,0.0,0.0154,0.1274,0.0116
dirt hill,0.6128,349,0.0,0.0,0.0,0.8539,0.043,0.0,0.0,0.0,0.0201,0.043,0.0401
metal rib,0.6129,20,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.8,0.0
gnu,0.6129,20,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.05,0.0,0.15
way sign pointing,0.6129,20,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.15
asphalt road,0.6129,438,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.2511,0.7397
facebook logo,0.6129,42,0.0,0.0,0.0,0.0,0.0,0.8095,0.0,0.0,0.119,0.0,0.0714
metal kitchen sink,0.6135,97,0.0,0.0,0.0206,0.0103,0.0,0.0,0.0,0.0,0.0619,0.8454,0.0619
barbecue,0.616,24,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.7917
ocean,0.6161,12692,0.0,0.0019,0.0007,0.0023,0.0314,0.8451,0.0002,0.0001,0.0203,0.091,0.007
dirt field,0.6166,648,0.0062,0.0077,0.0,0.8611,0.0556,0.0,0.0,0.0,0.0154,0.0324,0.0216
ketchup bottle,0.6167,740,0.8486,0.0176,0.0041,0.0959,0.0081,0.0041,0.0,0.0014,0.0176,0.0014,0.0014
living room table,0.6168,937,0.0064,0.0011,0.0021,0.857,0.0128,0.0032,0.0,0.0021,0.0384,0.0064,0.0704
mist,0.6169,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241,0.2701,0.0057
elephant drinking water,0.6172,3044,0.0003,0.0007,0.0003,0.225,0.0013,0.0003,0.0,0.0007,0.0023,0.7622,0.0069
zig zag,0.6172,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923,0.0,0.3077
fruit punch,0.6172,13,0.6923,0.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elephant skin,0.6175,724,0.0,0.0028,0.0,0.1478,0.0,0.0,0.0,0.0028,0.0041,0.8108,0.0318
cactus,0.6182,235,0.017,0.0,0.0085,0.0894,0.8426,0.0,0.0,0.0,0.0383,0.0043,0.0
car headlight,0.6183,625,0.0096,0.0288,0.0208,0.0,0.0,0.0048,0.0,0.0,0.8464,0.088,0.0016
wine cork,0.6191,34,0.0,0.0,0.0,0.8235,0.0294,0.0,0.0,0.0294,0.1176,0.0,0.0
motorcycle exhaust pipe,0.6201,93,0.0108,0.0,0.0,0.0215,0.0,0.0,0.0,0.0,0.0108,0.8172,0.1398
track ballast,0.6202,41,0.0,0.0,0.0,0.0488,0.0,0.0,0.0,0.0,0.0244,0.0976,0.8293
sheet music,0.6204,55,0.0,0.0182,0.0182,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1636
pink,0.622,2377,0.0862,0.0362,0.0017,0.0055,0.0004,0.0008,0.0105,0.8477,0.0097,0.0008,0.0004
peanut,0.6223,95,0.0,0.0,0.1684,0.8,0.0,0.0,0.0,0.0,0.0105,0.0105,0.0105
clothe dryer,0.6235,29,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.8276,0.0345,0.1034
wall radiator,0.6237,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842,0.3158,0.0
nikon,0.6237,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158,0.0,0.6842
holster,0.6237,70,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0286,0.7714
turnip,0.6238,48,0.0417,0.0,0.0,0.8333,0.0,0.0,0.0,0.0417,0.0833,0.0,0.0
splash,0.6241,375,0.0187,0.0107,0.0107,0.016,0.0053,0.0267,0.0053,0.0027,0.88,0.0107,0.0133
iron,0.6243,436,0.0069,0.0,0.0023,0.0275,0.0206,0.0023,0.0,0.0,0.0,0.1032,0.8372
bread slice,0.6249,523,0.0038,0.0134,0.044,0.8432,0.0096,0.0,0.0,0.0019,0.0841,0.0,0.0
garden salad,0.6254,119,0.0504,0.084,0.0084,0.0,0.8403,0.0,0.0084,0.0,0.0084,0.0,0.0
wood bathroom cabinet,0.6254,116,0.0517,0.0,0.0603,0.8362,0.0,0.0,0.0,0.0,0.0517,0.0,0.0
laminate floor,0.6254,589,0.0017,0.0017,0.0289,0.8506,0.0,0.0,0.0,0.0,0.0662,0.034,0.017
chocolate cookie,0.6255,80,0.0125,0.0,0.0125,0.85,0.0,0.0,0.0125,0.0,0.0625,0.0,0.05
iron fence,0.6256,1017,0.0039,0.0,0.0039,0.0177,0.0295,0.0187,0.0,0.0,0.0216,0.0383,0.8663
chrome plane,0.6258,94,0.0,0.0,0.0106,0.0,0.0106,0.0426,0.0,0.0,0.0638,0.8511,0.0213
screen television set,0.626,163,0.0,0.0,0.0061,0.0061,0.0,0.0307,0.0,0.0,0.0245,0.092,0.8405
plank floor,0.6263,136,0.0147,0.0,0.0,0.8382,0.0,0.0074,0.0,0.0,0.0221,0.1029,0.0147
amber beer,0.6266,287,0.0,0.0906,0.0662,0.8293,0.0035,0.0,0.0,0.0035,0.007,0.0,0.0
weiner,0.6272,33,0.8485,0.0,0.0,0.0,0.0606,0.0,0.0,0.0,0.0303,0.0303,0.0303
veil,0.6274,118,0.0085,0.0169,0.0169,0.0254,0.0,0.0,0.0,0.0,0.8644,0.0339,0.0339
desert sand,0.6275,404,0.0025,0.005,0.0718,0.849,0.0,0.0,0.0,0.0,0.0396,0.0223,0.0099
domino,0.6277,15,0.1333,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
wate,0.6277,15,0.0,0.0,0.0,0.1333,0.0667,0.8,0.0,0.0,0.0,0.0,0.0
window sil,0.6277,15,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.8,0.1333,0.0
southwest,0.6277,15,0.0,0.8,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667
rail road track,0.628,205,0.0,0.0,0.0,0.8146,0.0,0.0,0.0,0.0,0.0146,0.0439,0.1268
pavement marking,0.6288,31,0.0,0.0,0.3226,0.0,0.0,0.0,0.0,0.0,0.6774,0.0,0.0
ivory tusk,0.629,186,0.0645,0.0,0.0645,0.0376,0.0,0.0,0.0,0.0,0.8333,0.0,0.0
steel pillar,0.6291,124,0.0242,0.0,0.0,0.0565,0.0,0.0,0.0,0.0,0.0081,0.8387,0.0726
grass pasture,0.6291,250,0.0,0.0,0.008,0.196,0.78,0.0,0.0,0.0,0.008,0.0,0.008
grass land,0.6295,34,0.0,0.0,0.0,0.3235,0.6765,0.0,0.0,0.0,0.0,0.0,0.0
cookie dough,0.6301,37,0.0,0.0,0.0,0.6757,0.0,0.0,0.0,0.0,0.3243,0.0,0.0
woman surfer,0.6307,98,0.0,0.0,0.1429,0.0612,0.0,0.0,0.0,0.0,0.7959,0.0,0.0
sidewalk,0.6311,22986,0.0559,0.0009,0.0019,0.0482,0.0005,0.0011,0.0,0.0001,0.0301,0.8502,0.0111
cement dock,0.6313,122,0.0,0.0,0.0,0.1721,0.0,0.0082,0.0,0.0,0.0082,0.7951,0.0164
bread crumb,0.6315,165,0.0121,0.0303,0.0303,0.8545,0.0,0.0061,0.0,0.0,0.0606,0.0,0.0061
apple macbook,0.6316,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471,0.7941,0.0588
pedestrian cross walk,0.6319,33,0.0303,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.8182,0.1212,0.0
steel rack,0.6322,75,0.0133,0.0,0.0267,0.04,0.0,0.0,0.0,0.0,0.0133,0.8533,0.0533
leather baseball mitt,0.6328,55,0.0182,0.0,0.0,0.7455,0.0,0.0,0.0,0.0,0.0,0.0,0.2364
drumstick,0.6331,42,0.0,0.0238,0.0476,0.8571,0.0,0.0,0.0,0.0,0.0238,0.0238,0.0238
heat register,0.6337,18,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.8333,0.0556,0.0556
steel building support,0.6337,18,0.0,0.0,0.0,0.0556,0.0,0.0556,0.0,0.0,0.0556,0.8333,0.0
wood box,0.6337,128,0.0312,0.0,0.0078,0.8594,0.0,0.0078,0.0,0.0,0.0469,0.0234,0.0234
branchy,0.6342,34,0.0,0.0,0.0,0.7647,0.2059,0.0,0.0,0.0,0.0,0.0,0.0294
baby corn,0.6345,89,0.0,0.0,0.7528,0.0225,0.2247,0.0,0.0,0.0,0.0,0.0,0.0
adult bear,0.635,175,0.0,0.0,0.0,0.2629,0.0,0.0,0.0,0.0,0.0,0.0114,0.7257
dirt stain,0.6351,109,0.0092,0.0734,0.0183,0.8349,0.0,0.0,0.0,0.0,0.0,0.0,0.0642
crust pizza,0.6359,507,0.002,0.0,0.1617,0.7968,0.0,0.0,0.0,0.0,0.0335,0.0039,0.002
giraffe neck,0.636,4099,0.0,0.0024,0.0046,0.7309,0.0,0.001,0.0,0.0,0.2596,0.0005,0.001
metal door knob,0.6365,79,0.0,0.0,0.1013,0.0,0.0,0.0,0.0,0.0,0.0253,0.8228,0.0506
degree angle,0.6365,3,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0
sunburn,0.6365,3,0.0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation air,0.6365,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.0,0.0
outskirt,0.6365,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667
espresso,0.6365,9,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
maize,0.6365,6,0.0,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0
shirt child,0.6365,3,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0
mouth wash,0.6365,6,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.0
port potty,0.6365,3,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0
water distance,0.6365,3,0.0,0.0,0.0,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
pizza bread,0.6368,201,0.0,0.0,0.0697,0.796,0.0,0.0,0.0,0.0,0.1343,0.0,0.0
giraffe snout,0.6375,79,0.0,0.038,0.0,0.8354,0.0,0.0,0.0,0.0,0.0253,0.0127,0.0886
wood post,0.6378,479,0.0063,0.0021,0.0063,0.8622,0.0188,0.0042,0.0,0.0,0.0251,0.048,0.0271
log house,0.6381,223,0.0538,0.0224,0.0045,0.8565,0.0,0.0179,0.0,0.0,0.0135,0.0314,0.0
bird poop,0.6385,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227,0.75,0.0,0.2273
straw roof,0.639,229,0.0306,0.0,0.0175,0.8603,0.0044,0.0087,0.0,0.0,0.0437,0.0306,0.0044
iron arm rest,0.639,10,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.8
ball pit,0.639,10,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.1,0.0
car port,0.639,10,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0
pan cake,0.639,10,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
frankfurter,0.639,10,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1
avatar,0.639,10,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.8
person wakeboarding,0.639,10,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.8
water chestnut,0.639,10,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0
dog tooth,0.6393,346,0.0058,0.0,0.2283,0.0,0.0058,0.0,0.0,0.0058,0.7543,0.0,0.0
dog snout,0.64,161,0.0,0.0,0.0,0.1801,0.0,0.0,0.0,0.0,0.0311,0.0062,0.7826
chrome grill,0.64,166,0.006,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.012,0.7711,0.2048
lace,0.6405,420,0.0,0.0071,0.0357,0.0143,0.0024,0.0024,0.0,0.0048,0.8548,0.0143,0.0643
lab coat,0.6409,126,0.0079,0.0,0.0079,0.0159,0.0,0.0556,0.0,0.0,0.8492,0.0556,0.0079
metal teapot,0.6413,41,0.0,0.0,0.0,0.0,0.0,0.0732,0.0,0.0,0.0488,0.8293,0.0488
metal cylinder,0.6413,44,0.0682,0.0227,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.8409,0.0455
plantation,0.6415,29,0.0,0.0,0.1379,0.069,0.7931,0.0,0.0,0.0,0.0,0.0,0.0
railroad train track,0.6423,985,0.001,0.0,0.001,0.8213,0.0,0.002,0.0,0.0,0.0122,0.0569,0.1056
sea weed,0.6424,38,0.0,0.0,0.0,0.3421,0.6579,0.0,0.0,0.0,0.0,0.0,0.0
picket fence,0.6425,714,0.0056,0.0,0.0014,0.0686,0.0266,0.0056,0.0028,0.0,0.8501,0.035,0.0042
deadbolt lock,0.6429,23,0.0435,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.8261,0.0435
jean short,0.6431,413,0.0,0.0024,0.0,0.0,0.0218,0.8281,0.0,0.0,0.0024,0.0944,0.0508
school desk,0.6436,194,0.0052,0.0103,0.0052,0.8505,0.0206,0.0,0.0,0.0,0.0722,0.0309,0.0052
leather mitt,0.6436,40,0.0,0.0,0.0,0.75,0.025,0.0,0.0,0.0,0.0,0.0,0.225
dirt roadway,0.6437,37,0.0,0.0,0.0,0.7838,0.0,0.0,0.0,0.0,0.0,0.1622,0.0541
rivet,0.6438,211,0.0095,0.0047,0.0284,0.0,0.0,0.0,0.0,0.0,0.0047,0.8104,0.1422
button mushroom,0.6439,773,0.0013,0.0,0.0039,0.815,0.0,0.0,0.0,0.0,0.1307,0.0298,0.0194
sugar,0.6446,916,0.0055,0.0022,0.0109,0.2118,0.0,0.0,0.0,0.0011,0.7664,0.0,0.0022
garden plant,0.6447,225,0.04,0.0044,0.0133,0.0089,0.8533,0.0,0.0444,0.0356,0.0,0.0,0.0
exhaust pipe,0.6451,242,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0,0.0,0.0289,0.7975,0.1612
whitewall tire,0.6459,573,0.0017,0.0017,0.0,0.0105,0.0,0.0035,0.0,0.0,0.1291,0.0384,0.815
video camera,0.646,325,0.0,0.0031,0.0,0.0031,0.0,0.0,0.0,0.0,0.0369,0.1692,0.7877
leather recliner,0.6461,23,0.0,0.0,0.0,0.6522,0.0,0.0,0.0,0.0,0.0,0.0,0.3478
crosswalk stripe,0.6462,673,0.0178,0.0104,0.1144,0.0015,0.003,0.0,0.0,0.0,0.8306,0.0059,0.0163
meadow,0.6463,509,0.0,0.0,0.0079,0.1749,0.7898,0.0,0.0,0.0,0.0039,0.0216,0.002
banana,0.6467,5975,0.0015,0.0,0.836,0.0701,0.0464,0.0,0.0,0.0002,0.0415,0.0003,0.004
heating,0.6467,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7925,0.1321,0.0755
toilet tank,0.647,1049,0.0048,0.0,0.0362,0.0486,0.0086,0.0143,0.0,0.0067,0.8608,0.0143,0.0057
stone sidewalk,0.647,128,0.0234,0.0,0.0,0.1406,0.0,0.0,0.0,0.0,0.0312,0.8047,0.0
sunshine,0.6478,517,0.0019,0.0058,0.7853,0.0019,0.0,0.0213,0.0,0.0,0.1818,0.0019,0.0
football field,0.6485,216,0.0046,0.0093,0.0185,0.0417,0.8519,0.0093,0.0,0.0,0.0602,0.0,0.0046
laundromat,0.6492,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529,0.6471,0.0
metal handlebar,0.6495,36,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2222
muffler,0.6497,44,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.7727,0.1818
pasture,0.6503,358,0.0,0.0,0.0028,0.1592,0.7989,0.0,0.0,0.0,0.0196,0.0028,0.0168
sidewalk path,0.6503,156,0.0192,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0192,0.8333,0.0449
person,0.6503,385,0.0078,0.0,0.026,0.0649,0.0,0.0,0.0,0.0,0.8312,0.0,0.0701
umbrella shadow,0.6515,234,0.0,0.0,0.0,0.047,0.0043,0.0171,0.0,0.0,0.0,0.1154,0.8162
wedding,0.6517,61,0.0656,0.0164,0.0164,0.0,0.0164,0.0,0.0,0.0164,0.8525,0.0,0.0164
camcorder,0.6518,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571,0.6429
metal burner,0.652,24,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.7917
wood leg,0.653,88,0.0,0.0,0.0227,0.8523,0.0114,0.0,0.0114,0.0,0.0568,0.0114,0.0341
caster wheel,0.6535,534,0.0037,0.0075,0.0037,0.0056,0.0,0.0131,0.0,0.0,0.0468,0.0787,0.8408
olive oil,0.6538,120,0.0083,0.0,0.7333,0.0083,0.25,0.0,0.0,0.0,0.0,0.0,0.0
asphalt street,0.6539,775,0.0026,0.0,0.0013,0.0039,0.0,0.0,0.0,0.0,0.0052,0.2594,0.7277
forest tree,0.654,119,0.0,0.0,0.0,0.1933,0.7731,0.0,0.0,0.0,0.0,0.0168,0.0168
iron lamp post,0.6541,125,0.0,0.0,0.0,0.008,0.088,0.016,0.0,0.0,0.0,0.064,0.824
sand,0.6546,16574,0.0015,0.0033,0.1142,0.8251,0.0,0.0002,0.0,0.0,0.0181,0.0276,0.0101
wood shelving,0.6547,18,0.0,0.0,0.0556,0.7778,0.0,0.0,0.0,0.0,0.1667,0.0,0.0
egret,0.6547,36,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.7778,0.1667,0.0
spect,0.6547,18,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.7778
armpit,0.6551,27,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.037,0.1111,0.0,0.8148
grandmother,0.6555,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,0.3636,0.0
brownstone,0.6555,11,0.6364,0.0,0.0,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal propeller,0.6555,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,0.3636
otter,0.6555,22,0.0,0.0,0.0,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.6364
tomato half,0.6559,391,0.8235,0.1228,0.0077,0.0077,0.0205,0.0,0.0,0.0102,0.0077,0.0,0.0
desktop tower,0.656,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.1429,0.7857
flatscreen,0.656,14,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.1429,0.7857
parquet,0.656,14,0.0714,0.0,0.0,0.7857,0.0,0.0,0.0,0.0,0.1429,0.0,0.0
cabin cruiser,0.656,14,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.7857,0.0,0.0714
rollerblade,0.656,14,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.7857
mummy,0.656,14,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.7857,0.0,0.1429
eyeliner,0.6565,32,0.0,0.0,0.0,0.2188,0.0312,0.0,0.0,0.0,0.0,0.0,0.75
scrub bush,0.6567,474,0.0042,0.0,0.0,0.1498,0.8038,0.0,0.0,0.0,0.0084,0.0084,0.0253
elephant eye,0.6567,2118,0.0109,0.0038,0.0,0.2229,0.0005,0.0028,0.0,0.0,0.0005,0.0028,0.7559
lane line,0.6569,1907,0.011,0.0016,0.2381,0.0,0.0005,0.0026,0.0,0.0,0.7436,0.0,0.0026
motorcycle handlebar,0.6575,349,0.0,0.0,0.0,0.0115,0.0,0.0029,0.0,0.0,0.0,0.2665,0.7192
wood fence post,0.6582,89,0.0,0.0,0.0,0.8202,0.0225,0.0,0.0,0.0,0.0337,0.1124,0.0112
chocolate desert,0.6583,249,0.0321,0.012,0.0,0.8554,0.0,0.0201,0.004,0.004,0.0442,0.0,0.0281
scooter seat,0.6584,373,0.0563,0.0,0.0027,0.0161,0.0027,0.0027,0.008,0.0,0.0268,0.0322,0.8525
tv camera,0.6587,696,0.0101,0.0014,0.0,0.0,0.0014,0.0057,0.0,0.0,0.0388,0.1322,0.8103
barn floor,0.6591,201,0.005,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0348,0.1542,0.01
metal chain link,0.6592,31,0.0,0.0,0.0,0.0323,0.0,0.0323,0.0,0.0,0.0,0.8065,0.129
ironwork,0.6599,17,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0,0.0,0.0,0.0588,0.8235
cufflink,0.6599,17,0.0588,0.0,0.0,0.0,0.0,0.0588,0.0588,0.0,0.0,0.8235,0.0
wire metal fence,0.6599,17,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0,0.0,0.0,0.8235,0.0588
pedestrian crosswalk,0.6609,257,0.0428,0.0,0.0311,0.0078,0.0,0.0,0.0,0.0,0.8249,0.0934,0.0
decade,0.6616,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.625
elephant fece,0.6616,8,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.375,0.0
paddock,0.6616,16,0.0,0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0
couscous,0.6616,8,0.0,0.0,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dirt road,0.6618,1623,0.0037,0.0031,0.0018,0.8133,0.0,0.0,0.0,0.0,0.0049,0.1097,0.0635
salt,0.6636,715,0.007,0.0014,0.0084,0.007,0.0028,0.0084,0.0,0.0098,0.8294,0.1189,0.007
faucet head,0.6639,60,0.0,0.0,0.0333,0.0667,0.0,0.0,0.0,0.0,0.0167,0.8333,0.05
mud,0.6646,972,0.0103,0.0041,0.001,0.785,0.0,0.0,0.0,0.0,0.0062,0.0134,0.18
sunflower seed,0.6649,28,0.0,0.0,0.75,0.2143,0.0357,0.0,0.0,0.0,0.0,0.0,0.0
carrot stick,0.6656,109,0.0,0.8257,0.0275,0.055,0.0826,0.0,0.0,0.0,0.0092,0.0,0.0
chili sauce,0.6658,169,0.7692,0.1893,0.0,0.0355,0.0,0.0,0.0,0.0,0.0,0.0,0.0059
brow,0.6669,57,0.0,0.0,0.0,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.386
giraffe nose,0.667,523,0.0,0.0076,0.0,0.7476,0.0,0.0,0.0,0.0,0.0076,0.0076,0.2294
train track,0.6678,8848,0.0043,0.0043,0.0028,0.8157,0.0012,0.0008,0.0,0.0,0.001,0.0967,0.0731
snow track,0.6682,800,0.0075,0.005,0.0,0.0587,0.0012,0.0162,0.0,0.0,0.8462,0.0375,0.0275
raisin,0.6682,90,0.0,0.0,0.0,0.3889,0.0,0.0,0.0,0.0,0.0,0.0,0.6111
wood shelf,0.6684,233,0.0043,0.0,0.03,0.8412,0.0,0.0,0.0,0.0,0.0515,0.0386,0.0343
closet door,0.6685,835,0.0,0.0,0.0108,0.1988,0.0,0.0144,0.0,0.0012,0.7701,0.0012,0.0036
wii game controller,0.6685,98,0.0,0.0306,0.0,0.0,0.0,0.0714,0.0,0.0102,0.8367,0.0408,0.0102
flatscreen tv,0.6688,1352,0.0,0.0,0.0,0.0037,0.0052,0.0074,0.0007,0.0,0.0111,0.2056,0.7663
bathroom light,0.6696,1264,0.0047,0.0071,0.1622,0.0095,0.004,0.0071,0.0016,0.0008,0.7998,0.0032,0.0
shower door handle,0.6701,174,0.0,0.0,0.1034,0.0057,0.0,0.0,0.0,0.0,0.0517,0.8161,0.023
steel pot,0.6703,885,0.0068,0.0011,0.0011,0.0249,0.0158,0.0056,0.0,0.0,0.0045,0.8237,0.1164
metal pizza pan,0.6704,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6063,0.3937
child eye,0.6705,697,0.0115,0.0,0.0,0.7934,0.0014,0.1564,0.0,0.0,0.0,0.0043,0.033
park area,0.6706,195,0.0,0.0,0.0154,0.0667,0.841,0.0051,0.0,0.0,0.0103,0.0462,0.0154
airway,0.6708,52,0.0,0.0,0.0,0.0,0.0192,0.7692,0.0,0.0,0.1923,0.0192,0.0
cauliflower,0.6709,307,0.013,0.0,0.0358,0.0195,0.0456,0.0,0.0423,0.0,0.8436,0.0,0.0
chalk mark,0.671,78,0.0,0.0,0.0,0.0,0.0256,0.0385,0.0,0.0,0.8205,0.0128,0.1026
paper,0.6712,425,0.0094,0.0141,0.04,0.04,0.0071,0.0118,0.0,0.0024,0.8588,0.0118,0.0047
flush knob,0.6714,179,0.0,0.0,0.1453,0.0,0.0,0.0,0.0,0.0,0.0447,0.7933,0.0168
