,o1,o2,>,<,typical
1755,shirt,mustard,145,50,>
1756,helmet,snow boarder,11,198,<
1757,bowl,tip,281,4,>
1758,wave,symbol,206,4,>
1759,vest,boot,180,49,>
1760,jacket,cord,281,80,>
1761,glass,screen,192,455,<
1762,couch,mouth,155,4,>
1763,pillow,horse,24,107,<
1764,letter,bottom,240,953,<
1765,truck,star,92,20,>
1766,cat,pupil,574,6,>
1767,gold,wheel,91,20,>
1768,blueberry,fruit,49,183,<
1769,dress,necklace,926,54,>
1770,sticker,book,31,153,<
1771,rail,sign,745,246,>
1772,railing,helmet,315,30,>
1773,snout,leaf,30,97,<
1774,moon,sign,11,207,<
1775,pillow,tub,7,135,<
1776,lamp,valance,31,84,<
1777,sheet,towel,190,48,>
1778,pant,center,30,77,<
1779,head,kitchen,4,131,<
1780,pillow,stack,453,186,>
1781,pile,couch,30,118,<
1782,stripe,number,1083,299,>
1783,kite,cloth,109,17,>
1784,plate,blueberry,430,24,>
1785,mountain,raft,133,25,>
1786,yak,animal,51,154,<
1787,bunch,mouse,100,15,>
1788,stair,letter,236,13,>
1789,cow,nipple,113,0,>
1790,bow,cake,24,296,<
1791,house,bus,309,736,<
1792,couple,cap,230,30,>
1793,head,cat,408,1212,<
1794,rail,letter,254,36,>
1795,wheel,tower,41,132,<
1796,candle,shirt,294,1893,<
1797,lettering,arm,30,98,<
1798,stain,dog,18,345,<
1799,toilet,surface,93,22,>
1800,shutter,flower,258,100,>
1801,door,fixture,659,139,>
1802,cone,boat,9,115,<
1803,cup,skirt,18,121,<
1804,table,thumb,137,46,>
1805,drawer,steel,20,103,<
1806,sign,beam,65,216,<
1807,cat,figurine,267,29,>
1808,tent,bus,63,151,<
1809,fridge,bottle,803,35,>
1810,glass,robe,18,218,<
1811,head,sofa,14,94,<
1812,cellphone,bed,8,159,<
1813,pant,eye glass,212,20,>
1814,leaf,duck,172,625,<
1815,container,guy,17,135,<
1816,banana,price tag,106,6,>
1817,number,walkway,10,264,<
1818,elephant,butt,100,24,>
1819,tree,seat,1229,454,>
1820,shoe,clothe,37,368,<
1821,tree,ring,460,69,>
1822,surfing,ripple,84,25,>
1823,light,tennis,25,179,<
1824,telephone,desk,71,508,<
1825,liquid,cup,120,432,<
1826,design,carpet,67,173,<
1827,vegetation,tail,128,5,>
1828,shirt,clip,295,67,>
1829,rug,fan,156,24,>
1830,soccer,shoe,647,5,>
1831,drawer,cord,182,48,>
1832,control,keyboard,6,216,<
1833,hand,microwave,41,141,<
1834,hole,cheese,35,91,<
1835,pot,pattern,133,34,>
1836,mirror,towel,6020,873,>
1837,handle,orange,167,702,<
1838,ring,container,23,84,<
1839,mask,guy,21,154,<
1840,net,window,112,32,>
1841,wheel,stair,46,212,<
1842,animal,wrinkle,122,29,>
1843,clock,sheet,29,92,<
1844,garage,light,104,9,>
1845,curtain,keyboard,399,60,>
1846,sticker,helmet,40,153,<
1847,tip,tail,19,115,<
1848,mirror,pillow,2658,812,>
1849,plate,pumpkin,146,16,>
1850,jean,container,151,46,>
1851,cage,bird,470,197,>
1852,tomato,meat,191,453,<
1853,wave,towel,97,26,>
1854,donut,palm,100,11,>
1855,suit,wire,113,47,>
1856,person,baby,30,107,<
1857,sticker,cord,45,158,<
1858,foot,clothe,28,85,<
1859,suit,belt,287,5,>
1860,handle,suit,17,154,<
1861,tv,microwave,100,37,>
1862,refrigerator,steel,88,19,>
1863,bat,stripe,424,120,>
1864,pole,surf board,29,104,<
1865,hat,plant,191,519,<
1866,soup,utensil,91,12,>
1867,barrette,shirt,16,117,<
1868,guy,tip,123,0,>
1869,couch,book,2187,190,>
1870,ramp,wheel,723,21,>
1871,spot,phone,12,100,<
1872,cup,pillow,67,437,<
1873,bear,glass,746,290,>
1874,calf,field,16,149,<
1875,cone,snow,24,298,<
1876,number,hand,582,2147,<
1877,fan,sink,41,101,<
1878,dog,sleeve,345,91,>
1879,tip,branch,3,134,<
1880,trash,paper,201,82,>
1881,sandal,sign,71,172,<
1882,light,path,31,129,<
1883,tree,foundation,71,29,>
1884,bear,watch,126,17,>
1885,shed,leaf,92,25,>
1886,light,sandwich,40,403,<
1887,plant,deck,21,86,<
1888,stem,vase,190,1215,<
1889,plate,beverage,371,91,>
1890,ski,letter,696,19,>
1891,dog,meat,351,46,>
1892,light,potato,29,90,<
1893,letter,batter,22,511,<
1894,label,head,16,94,<
1895,dugout,shoe,103,22,>
1896,ladder,snow,29,95,<
1897,bucket,curtain,2,107,<
1898,wave,something,130,46,>
1899,helmet,path,16,145,<
1900,shirt,button,5906,895,>
1901,coffee,key,132,10,>
1902,plane,head,372,28,>
1903,letter,pastry,1,225,<
1904,fur,goat,33,233,<
1905,bridge,arch,246,66,>
1906,letter,strap,56,262,<
1907,wristwatch,shirt,43,679,<
1908,slice,pizza,394,1933,<
1909,bike,frame,227,76,>
1910,kitty,dog,82,22,>
1911,bike,trash,292,32,>
1912,dish,design,170,39,>
1913,car,horn,118,35,>
1914,orange,baby,44,169,<
1915,orange,guy,139,420,<
1916,frisbee,star,115,4,>
1917,pair,mat,32,103,<
1918,utensil,table,286,971,<
1919,trim,handle,169,36,>
1920,wheel,sneaker,141,485,<
1921,ipod,button,169,11,>
1922,toy,jacket,53,126,<
1923,ripple,shirt,261,654,<
1924,umbrella,pony tail,76,24,>
1925,cookie,donut,57,179,<
1926,snow,field,217,527,<
1927,hand,refrigerator,22,161,<
1928,dog,package,111,29,>
1929,portion,ripple,92,29,>
1930,brick,bear,166,578,<
1931,sign,frisbee,173,603,<
1932,beak,cow,0,124,<
1933,rim,glass,65,336,<
1934,exhaust,car,28,75,<
1935,mitt,pot,20,83,<
1936,truck,pant,804,250,>
1937,lawn,fence,179,73,>
1938,napkin,tomato,326,129,>
1939,ear,tusk,1023,93,>
1940,banana,ear,555,10,>
1941,antenna,cat,24,145,<
1942,kettle,handle,173,31,>
1943,plate,couch,48,428,<
1944,foot,teddy,59,263,<
1945,hat,pink,54,194,<
1946,bear,step,210,81,>
1947,plate,portion,1061,311,>
1948,collar,rock,39,96,<
1949,cake,bottom,388,73,>
1950,pack,jean,52,155,<
1951,giraffe,sport,122,3,>
1952,donut,dress,36,97,<
1953,shutter,clock,48,216,<
1954,center,letter,173,65,>
1955,skier,parka,78,30,>
1956,bracelet,pillow,8,183,<
1957,baby,horse,84,267,<
1958,pole,baby,31,88,<
1959,arm,outfit,23,105,<
1960,toilet,design,290,69,>
1961,car,hat,2258,734,>
1962,television,couch,214,1280,<
1963,bike,taillight,105,2,>
1964,umbrella,weed,122,19,>
1965,giraffe,body,138,44,>
1966,tv,wire,415,63,>
1967,ear,foliage,25,337,<
1968,glove,couple,12,103,<
1969,cat,case,502,126,>
1970,baby,orange,169,44,>
1971,hat,vest,324,1021,<
1972,cord,keyboard,337,1297,<
1973,key,baby,0,188,<
1974,cake,orange,463,98,>
1975,plate,jean,103,258,<
1976,jersey,soccer,9,356,<
1977,plant,ribbon,105,18,>
1978,cake,nut,227,6,>
1979,leg,boot,257,82,>
1980,spinach,leaf,111,46,>
1981,sign,rack,102,367,<
1982,phone,handle,226,47,>
1983,dog,triangle,95,5,>
1984,hole,board,26,202,<
1985,shirt,bottle,5583,607,>
1986,toilet,knob,1233,4,>
1987,bench,stone,1369,490,>
1988,ring,cow,12,131,<
1989,plate,table setting,8,93,<
1990,jean,plate,258,103,>
1991,pear,banana,138,331,<
1992,plant,drape,18,117,<
1993,bag,mouse,256,28,>
1994,knob,steel oven,2,146,<
1995,cookie,pan,11,111,<
1996,ripple,portion,29,92,<
1997,tshirt,shoe,239,33,>
1998,chain,bush,50,238,<
1999,blender,hand,151,37,>
2000,panel,curtain,53,127,<
2001,umbrella,giraffe,56,195,<
2002,sticker,sink,6,217,<
2003,sandwich,stripe,91,17,>
2004,sneaker,tarp,7,118,<
2005,puddle,window,180,34,>
2006,field,cow,4858,1389,>
2007,mouse,blind,12,227,<
2008,pen,book,105,645,<
2009,head,seat,63,178,<
2010,knob,window,54,1753,<
2011,cable,guy,19,96,<
2012,light,lampshade,84,32,>
2013,bunch,variety,8,148,<
2014,barricade,shirt,85,34,>
2015,pillow,bed spread,92,475,<
2016,number,stand,34,300,<
2017,helmet,fencing,14,177,<
2018,train,shape,85,34,>
2019,wagon,hat,280,27,>
2020,costume,hat,349,14,>
2021,microwave,socket,194,0,>
2022,friend,shirt,566,48,>
2023,stripe,bunch,108,254,<
2024,wire,ear,448,77,>
2025,t-shirt,logo,527,51,>
2026,bagel,cup,134,18,>
2027,window,toaster oven,99,17,>
2028,elephant,barrier,79,26,>
2029,tent,backpack,100,34,>
2030,frisbee,watch,426,33,>
2031,eye,whisker,85,462,<
2032,spot,beak,116,13,>
2033,cop,shirt,102,8,>
2034,cushion,ear,186,9,>
2035,wave,rainbow,12,135,<
2036,hill,shirt,1109,205,>
2037,elephant,tire,719,105,>
2038,band,cat,1,135,<
2039,knife,crumb,283,53,>
2040,number,baby,3,192,<
2041,ribbon,table,36,222,<
2042,counter,cap,90,18,>
2043,pair,herd,4,110,<
2044,suit,speaker,78,23,>
2045,bottle,poster,47,153,<
2046,plate,shoe,237,101,>
2047,glass,blouse,79,299,<
2048,cattle,cow,2259,568,>
2049,beard,eyebrow,177,10,>
2050,table,tape,113,46,>
2051,stripe,head,652,1833,<
2052,glove,logo,295,96,>
2053,onion,variety,1,104,<
2054,bush,leg,718,174,>
2055,shoe,railing,46,435,<
2056,eye,bush,27,780,<
2057,bird,bark,234,99,>
2058,shoe,suit case,4,129,<
2059,broccoli,tip,137,7,>
2060,container,wheel,161,46,>
2061,cliff,tree,263,65,>
2062,tree,plaque,268,27,>
2063,shirt,net,685,2230,<
2064,paint,cow,25,121,<
2065,train,person,180,25,>
2066,plant,shutter,47,116,<
2067,cup,finger,137,41,>
2068,sandwich,fork,2006,237,>
2069,jacket,kid,543,1449,<
2070,outlet,jean,1,112,<
2071,toilet,hole,1292,38,>
2072,band,shirt,182,2348,<
2073,building,taxi,506,159,>
2074,sheep,pebble,126,1,>
2075,scissors,dog,0,158,<
2076,kitchen,jar,140,1,>
2077,orange,crowd,26,176,<
2078,cement,cat,19,88,<
2079,dog,thumb,352,16,>
2080,watch,ball,20,92,<
2081,day,flower,269,18,>
2082,toe nail,dog,0,134,<
2083,carpet,paper,309,128,>
2084,sleeve,kid,14,151,<
2085,couple,foot,117,28,>
2086,post,plane,59,345,<
2087,stack,door,136,441,<
2088,tile,cup,686,255,>
2089,number,barrier,5,123,<
2090,bottom,pizza,122,576,<
2091,wheel,fence,177,1077,<
2092,number,control,5,302,<
2093,umbrella,band,189,53,>
2094,hoof,mane,31,147,<
2095,beard,bottle,133,27,>
2096,tent,kite,557,1420,<
2097,plaque,shirt,48,124,<
2098,bottle,finger,100,32,>
2099,suit,crowd,56,149,<
2100,baby,strap,261,22,>
2101,design,coat,44,114,<
2102,field,tan,175,35,>
2103,dog,ornament,124,10,>
2104,horse,post,1809,320,>
2105,cow,spot,3733,406,>
2106,chain,tree,481,1692,<
2107,pipe,handle,281,78,>
2108,bread,handle,248,39,>
2109,baby,pile,104,44,>
2110,slice,board,18,133,<
2111,furniture,light,121,7,>
2112,liquid,glass,306,1008,<
2113,donut,treat,34,161,<
2114,plane,number,2436,85,>
2115,bicycle,cat,438,111,>
2116,bus,letter,6519,220,>
2117,clock,vine,18,98,<
2118,cup,tub,23,89,<
2119,giraffe,dirt,3477,1468,>
2120,pillar,tree,389,1085,<
2121,house,cap,246,73,>
2122,face,key,106,14,>
2123,paper,utensil,81,32,>
2124,step,house,47,358,<
2125,flamingo,feather,154,60,>
2126,car,locomotive,26,128,<
2127,vegetation,stripe,89,16,>
2128,pole,elephant,446,1919,<
2129,ski,patch,135,50,>
2130,spot,couple,11,125,<
2131,sofa,flower,685,63,>
2132,window,tractor,8,200,<
2133,van,bus,701,2319,<
2134,bunch,tail,156,11,>
2135,wristwatch,dog,18,114,<
2136,spot,knife,29,316,<
2137,pimple,cat,0,149,<
2138,magnet,table,23,106,<
2139,hand,outfit,35,322,<
2140,jean,number,388,48,>
2141,button,door,90,1043,<
2142,tape,truck,29,71,<
2143,plant,mane,93,38,>
2144,boat,stair,415,76,>
2145,skin,tree,91,406,<
2146,bicycle,sneaker,165,24,>
2147,clock,bed,9,588,<
2148,bridal,horse,68,421,<
2149,shirt,chocolate,215,76,>
2150,tip,dirt,10,116,<
2151,box,roll,107,16,>
2152,bike,head light,159,11,>
2153,sheep,eye,4647,63,>
2154,table,stain,160,19,>
2155,hill,flower,346,64,>
2156,foot,uniform,20,125,<
2157,nostril,fence,0,141,<
2158,coaster,couch,0,106,<
2159,racket,leaf,172,45,>
2160,head,pizza,134,356,<
2161,sign,hill,242,1079,<
2162,box,bed,33,395,<
2163,graffiti,train,220,997,<
2164,stack,microwave,21,121,<
2165,roof,bag,235,71,>
2166,hose,shoe,111,23,>
2167,band,racket,7,394,<
2168,cooler,car,15,91,<
2169,umbrella,cactus,369,114,>
2170,light,cellphone,89,253,<
2171,board,wave,1553,4927,<
2172,cap,counter,18,90,<
2173,carrot,tree,37,111,<
2174,car,sneaker,328,107,>
2175,tail,baby,12,157,<
2176,leaf,spinach,46,111,<
2177,plate,container,1759,527,>
2178,tire,smoke,14,97,<
2179,paw,couch,8,106,<
2180,tube,toilet,17,313,<
2181,guy,pillow,305,50,>
2182,tool,table,32,81,<
2183,paint,handle,166,71,>
2184,door,soap,97,6,>
2185,elephant,pant,1798,202,>
2186,cat,clock,503,142,>
2187,pedestrian,van,45,105,<
2188,nut,fork,21,102,<
2189,fence,horse nose,185,10,>
2190,tusk,bush,20,302,<
2191,pile,pizza,97,372,<
2192,pizza,hole,488,43,>
2193,plane,fuselage,403,77,>
2194,control,tile,29,81,<
2195,apple,pan,27,196,<
2196,wheel,head light,135,18,>
2197,window,wire,764,3315,<
2198,lampshade,rug,9,163,<
2199,blanket,letter,311,10,>
2200,store,pant,178,36,>
2201,speck,pizza,9,104,<
2202,bus,tile,161,68,>
2203,mug,cat,104,348,<
2204,shirt,peice,114,14,>
2205,hat,baby,123,461,<
2206,bus,flag,2336,154,>
2207,bag,ipod,111,5,>
2208,sail boat,mast,92,32,>
2209,dot,board,30,138,<
2210,sweater,belt,135,11,>
2211,bridge,tire,179,35,>
2212,rope,beach,67,179,<
2213,ladder,elephant,10,100,<
2214,curb,guy,28,72,<
2215,basket,tree,179,697,<
2216,cake,logo,243,18,>
2217,point,snow,5,119,<
2218,eye,parrot,36,312,<
2219,handle bar,tire,23,151,<
2220,scarf,woman,138,57,>
2221,wood,collar,145,16,>
2222,foot,train,8,152,<
2223,crowd,bag,483,53,>
2224,tail,pile,11,114,<
2225,sign,tan,205,599,<
2226,tennis,mouth,220,2,>
2227,plantation,banana,91,28,>
2228,day,truck,260,35,>
2229,computer,box,341,58,>
2230,spoon,bit,128,12,>
2231,clothing,building,53,244,<
2232,person,guy,43,347,<
2233,scarf,table,117,440,<
2234,tire,tank,37,197,<
2235,beef,dish,17,85,<
2236,horse,lamb,97,16,>
2237,camera,handle,130,31,>
2238,flag,elephant,99,375,<
2239,brick,symbol,92,22,>
2240,cellphone,flower,104,37,>
2241,crowd,logo,290,9,>
2242,kid,head,679,76,>
2243,sign,screen,92,309,<
2244,day,kid,129,12,>
2245,object,television,29,105,<
2246,magazine,cushion,17,104,<
2247,pant,couch,165,633,<
2248,corn,tomato,113,30,>
2249,blanket,dog nose,330,5,>
2250,basket,giraffe,249,745,<
2251,ear,weed,93,671,<
2252,arm,teddy bear nose,135,2,>
2253,helmet,center,20,82,<
2254,bed spread,light,121,10,>
2255,cup,box,198,635,<
2256,branch,hole,103,20,>
2257,gate,clock,192,72,>
2258,watch,scarf,17,115,<
2259,ship,yacht,33,99,<
2260,eye,bus,10,99,<
2261,title,book,7,130,<
2262,lawn,pole,189,22,>
2263,leaf,skirt,63,272,<
2264,carpet,ball,96,17,>
2265,paper,collar,96,33,>
2266,spot,sign,202,633,<
2267,gazelle,horn,207,6,>
2268,roof,leaf,1102,344,>
2269,skin,giraffe,54,234,<
2270,letter,grill,17,109,<
2271,trunk,handle,171,5,>
2272,tie,horse,36,525,<
2273,ramp,sign,453,99,>
2274,pattern,pile,26,80,<
2275,design,ski,7,148,<
2276,drawer,stack,155,28,>
2277,monitor,glass,297,109,>
2278,animal,nostril,134,0,>
2279,cake,watch,412,33,>
2280,marker,book,34,103,<
2281,jacket,symbol,107,11,>
2282,toaster,window,27,230,<
2283,design,pair,156,408,<
2284,wood,fixture,232,62,>
2285,boot,clothe,10,93,<
2286,whisker,dog,92,886,<
2287,umbrella,stripe,1477,358,>
2288,ball,blanket,18,143,<
2289,kitchen,bag,265,24,>
2290,pillow,tattoo,102,8,>
2291,camera,sock,103,44,>
2292,leaf,pitcher,16,149,<
2293,step,train,38,623,<
2294,lettuce,spot,99,10,>
2295,shoe,ramp,71,807,<
2296,tape,box,50,153,<
2297,label,letter,444,63,>
2298,face,ceiling,27,78,<
2299,animal,sticker,125,6,>
2300,stand,candle,94,6,>
2301,towel,drain,368,15,>
2302,meal,bowl,465,63,>
2303,dog,pen,157,46,>
2304,elephant,dress,652,115,>
2305,building,aircraft,78,222,<
2306,stripe,banana,131,429,<
2307,blanket,glass,430,120,>
2308,wheel,bottle,105,17,>
2309,foam,dog,93,302,<
2310,mug,monitor,36,342,<
2311,hood,tree,116,470,<
2312,vent,toilet,24,405,<
2313,window,rider,27,85,<
2314,lip,baby,10,129,<
2315,flower,case,46,109,<
2316,bike,cone,359,36,>
2317,trunk,hand,98,38,>
2318,ear,puppy,80,749,<
2319,fence,cellphone,74,28,>
2320,panel,light,445,163,>
2321,claw,parrot,8,145,<
2322,cabbage,plate,64,223,<
2323,baby,brick,284,37,>
2324,horse,bell,266,2,>
2325,decoration,donut,29,154,<
2326,bed,bed spread,292,110,>
2327,keypad,button,182,13,>
2328,eye,scissors,8,217,<
2329,leg,glove,472,137,>
2330,bus,ad,330,83,>
2331,photograph,train,110,35,>
2332,toilet,rock,208,58,>
2333,vest,shoe,451,91,>
2334,pot,flag,19,83,<
2335,table,meal,177,540,<
2336,elephant,spot,1252,94,>
2337,herd,horn,232,2,>
2338,pizza,cup,2211,239,>
2339,statue,light,483,169,>
2340,shirt,zipper,326,41,>
2341,camera,vase,29,80,<
2342,ski,ski resort,6,112,<
2343,lamb,sheep nose,192,2,>
2344,bowl,carrot,2156,524,>
2345,tire,turkey,18,99,<
2346,lampshade,pillow,236,689,<
2347,snow,scarf,706,179,>
2348,faucet,toilet,74,2705,<
2349,shirt,wagon,46,199,<
2350,crumb,table,98,323,<
2351,lamp,carpet,395,1133,<
2352,vehicle,building,1154,2904,<
2353,gate,bike,45,119,<
2354,hinge,towel,8,121,<
2355,jacket,court,28,89,<
2356,podium,microphone,191,40,>
2357,number,knob,19,147,<
2358,tv,stand,190,81,>
2359,key,pillow,27,421,<
2360,ear,television,16,176,<
2361,tile,roof,93,227,<
2362,glass,lunch,15,171,<
2363,elephant,surface,149,51,>
2364,cabinet,control,179,12,>
2365,face,bat,13,153,<
2366,kid,sneaker,394,55,>
2367,vegetable,cucumber,463,98,>
2368,sleeve,dress,34,151,<
2369,sweater,towel,90,25,>
2370,milk,bowl,75,344,<
2371,boat,foot,130,28,>
2372,cow,day,55,432,<
2373,shirt,straw,974,162,>
2374,stool,handle,149,23,>
2375,ribbon,animal,33,345,<
2376,cap,animal,37,186,<
2377,leaf,basket,121,541,<
2378,horn,stone,26,126,<
2379,scissors,bunch,26,75,<
2380,dresser,pillow,868,212,>
2381,wine,necklace,93,11,>
2382,photograph,bag,107,29,>
2383,bush,racket,105,44,>
2384,beam,flower,91,22,>
2385,window,restaurant,77,281,<
2386,controller,tv,84,251,<
2387,switch,glass,35,238,<
2388,elephant,logo,146,5,>
2389,tattoo,elephant,16,183,<
2390,tire,gate,11,95,<
2391,ring,book,44,359,<
2392,uniform,glass,263,26,>
2393,hat,court,47,561,<
2394,farm,tree,169,27,>
2395,shirt,room,36,108,<
2396,tennis,person,259,16,>
2397,kitten,claw,111,0,>
2398,sweater,snow,196,502,<
2399,letter,car,811,6492,<
2400,sweater,pillow,264,87,>
2401,container,t-shirt,23,111,<
2402,collar,coat,35,204,<
2403,table,flag,377,70,>
2404,building,collar,151,17,>
2405,pants,snow,74,240,<
2406,boat,glove,138,8,>
2407,shade,boat,36,89,<
2408,jacket,flower,1349,361,>
2409,paw,puppy,37,276,<
2410,plate,napkin,5394,2010,>
2411,bird,frisbee,30,97,<
2412,tv,paper,276,49,>
2413,driveway,window,876,9,>
2414,window,orange,874,2070,<
2415,block,door,84,196,<
2416,eye,pant,56,892,<
2417,cap,roof,41,123,<
2418,costume,phone,126,9,>
2419,pant,uniform,131,667,<
2420,train,flower,1632,226,>
2421,object,blind,13,115,<
2422,door,van,126,492,<
2423,tan,herd,5,96,<
2424,helmet,day,18,364,<
2425,zipper,cat,158,1174,<
2426,head,jacket,278,1746,<
2427,table,juice,302,86,>
2428,cake,paint,146,26,>
2429,window,seagull,14,118,<
2430,track,lettering,131,4,>
2431,hoof,head,38,173,<
2432,horse,head,2256,202,>
2433,station,window,188,55,>
2434,wing,eagle,36,119,<
2435,tail end,tree,4,303,<
2436,couple,head,418,36,>
2437,pole,cup,153,56,>
2438,slat,bench,153,1387,<
2439,runway,truck,134,11,>
2440,shoe,coat,175,1627,<
2441,tusk,ear,93,1023,<
2442,kid,hood,130,12,>
2443,cow,chest,86,16,>
2444,wheel,machine,15,133,<
2445,jacket,pony tail,80,29,>
2446,powder,donut,37,148,<
2447,kitten,rug,97,33,>
2448,eye,couch,10,454,<
2449,jacket,skier,1847,6266,<
2450,plate,sweater,150,822,<
2451,bus,star,207,7,>
2452,bicycle,container,108,22,>
2453,cloth,sink,52,165,<
2454,car,logo,1128,138,>
2455,plane,stripe,3701,534,>
2456,fruit,design,133,39,>
2457,tree,nostril,316,0,>
2458,toilet,step,82,31,>
2459,label,umbrella,50,137,<
2460,scissors,portion,86,14,>
2461,veggie,bowl,79,337,<
2462,ski,body,189,49,>
2463,hole,knife,19,140,<
2464,pizza,plastic,158,31,>
2465,toaster,knife,90,10,>
2466,truck,stack,204,28,>
2467,runway,logo,127,13,>
2468,cabinet,towel,1369,311,>
2469,building,roof,3796,1053,>
2470,donut,candle,92,34,>
2471,pot,toaster,76,31,>
2472,case,latch,105,11,>
2473,engine,flag,112,17,>
2474,bench,streetlight,80,23,>
2475,counter,bag,256,100,>
2476,sofa,stand,141,8,>
2477,sconce,window,30,81,<
2478,train,wagon,134,37,>
2479,motorcyclist,number,130,5,>
2480,skillet,handle,95,8,>
2481,beach,snow,118,43,>
2482,pole,deck,26,136,<
2483,dirt,foot,268,72,>
2484,plate,broccoli floret,765,125,>
2485,tire,jet,14,239,<
2486,plug,computer,14,109,<
2487,lamp,mouse,516,27,>
2488,dog,advertisement,105,40,>
2489,stove,kettle,329,35,>
2490,vase,petal,1058,58,>
2491,cloth,button,176,24,>
2492,hole,chocolate,13,100,<
2493,guy,eye,986,25,>
2494,zebra,cheetah,167,18,>
2495,post,bunch,39,129,<
2496,bed,blind,803,138,>
2497,shirt,pond,35,92,<
2498,fridge,light,726,104,>
2499,kid,coat,441,169,>
2500,head,collar,247,37,>
2501,bench,giraffe,15,147,<
2502,wood,arm,260,94,>
2503,donut,wrinkle,103,1,>
2504,crack,eye,99,5,>
2505,boat,chimney,214,22,>
2506,packet,bowl,21,146,<
2507,ear,coat,24,665,<
2508,nostril,bird,0,102,<
2509,dog,spot,3881,366,>
2510,glass,house,105,440,<
2511,bus,table,164,53,>
2512,towel,trash,600,144,>
2513,soda,window,13,123,<
2514,bottom,donut,50,293,<
2515,light,couple,119,536,<
2516,bolt,bush,2,115,<
2517,boat,flag,5550,563,>
2518,lampshade,lamp,146,520,<
2519,giraffe,antler,280,7,>
2520,surface,logo,109,15,>
2521,kite,jean short,91,26,>
2522,store,horse,23,84,<
2523,rail,flag,110,12,>
2524,building,cathedral,35,86,<
2525,star,hat,48,151,<
2526,fence,backpack,390,83,>
2527,pile,pole,276,90,>
2528,spectator,sock,412,58,>
2529,tongue,fur,15,117,<
2530,light,booth,19,113,<
2531,seed,plate,79,577,<
2532,sign,belt,193,62,>
2533,tennis,wrist,193,0,>
2534,frame,logo,117,15,>
2535,luggage,window,641,230,>
2536,net,bag,132,25,>
2537,seat,carriage,9,98,<
2538,building,shrub,408,131,>
2539,basket,fence,39,151,<
2540,light,wii remote,32,101,<
2541,horse,shoulder,145,3,>
2542,coat,trash,130,47,>
2543,drawer,button,149,11,>
2544,paddle,tree,77,180,<
2545,chicken,potato,220,27,>
2546,toilet,cover,386,52,>
2547,fabric,ear,166,32,>
2548,rose,bunch,120,49,>
2549,tennis,marking,105,12,>
2550,hand,button,3275,369,>
2551,rock,glove,227,52,>
2552,bowl,peach,219,90,>
2553,vent,knob,136,4,>
2554,cow,arm,189,18,>
2555,tree,diamond,227,32,>
2556,apple,shelf,26,101,<
2557,stove,switch,197,0,>
2558,towel,tennis,2,155,<
2559,tree,belt,729,51,>
2560,light,pink,34,141,<
2561,flower,stand,92,353,<
2562,glove,dog,99,456,<
2563,kitchen,lid,97,6,>
2564,tail,frisbee,62,148,<
2565,coat,bowl,95,21,>
2566,truck,trim,114,42,>
2567,hood,knob,101,4,>
2568,carrot,pizza,11,201,<
2569,fruit,peach,312,124,>
2570,wheel,deck,8,99,<
2571,rug,cord,247,26,>
2572,lettering,bike,17,252,<
2573,basket,shirt,491,1461,<
2574,container,cap,213,50,>
2575,phone,tattoo,171,39,>
2576,number,track,44,1034,<
2577,beak,animal,3,108,<
2578,jacket,ear,1563,73,>
2579,book,marker,103,34,>
2580,pant,crosswalk,15,183,<
2581,tree,label,251,32,>
2582,patch,cat,263,2498,<
2583,zebra,whisker,229,28,>
2584,knob,number,147,19,>
2585,frisbee,glass,747,251,>
2586,light,cluster,40,114,<
2587,camera,dress,123,341,<
2588,book,figurine,144,46,>
2589,seat,wheel,270,736,<
2590,truck,grill,601,57,>
2591,beach,face,107,7,>
2592,sign,worker,54,136,<
2593,mirror,light,4317,730,>
2594,pond,plant,134,23,>
2595,tree,horseback,29,78,<
2596,handle,sandwich,12,212,<
2597,kitten,button,518,3,>
2598,letter,bird,60,447,<
2599,flag,tarp,9,109,<
2600,train,graffiti,997,220,>
2601,donut,sticker,177,42,>
2602,skiing,coat,195,23,>
2603,keyboard,bed,8,147,<
2604,ceiling,chandelier,162,51,>
2605,kid,family,17,83,<
2606,sandwich,bun,733,159,>
2607,tile,refrigerator,146,605,<
2608,plant,pond,23,134,<
2609,knife,curtain,14,92,<
2610,leaf,rim,98,42,>
2611,shoe,child,24,84,<
2612,knife,drawer,52,126,<
2613,car,lane,120,362,<
2614,surface,bear,93,301,<
2615,bike,pole,1676,589,>
2616,phone,button,3763,248,>
2617,cone,letter,239,67,>
2618,vegetable,hole,101,5,>
2619,mouse,book,156,843,<
2620,letter,tent,17,359,<
2621,ear,brick,88,262,<
2622,building,point,176,31,>
2623,jacket,wave,59,229,<
2624,umbrella,sticker,214,15,>
2625,sofa,window,1101,403,>
2626,seat,balcony,20,108,<
2627,harness,tree,44,177,<
2628,collar,shoe,36,214,<
2629,couch,seat,242,51,>
2630,bridge,leaf,1021,143,>
2631,sofa,book,981,60,>
2632,hill,animal,652,247,>
2633,body,letter,471,21,>
2634,glass,train,149,1121,<
2635,watch,stack,18,86,<
2636,shirt,waist,79,21,>
2637,wrist,glass,15,179,<
2638,shirt,loafer,90,18,>
2639,statue,head,379,43,>
2640,banana,plate,758,2430,<
2641,uniform,pair,623,39,>
2642,cloth,spoon,140,48,>
2643,sink,bottle,1756,74,>
2644,dog,apple,504,139,>
2645,vase,opening,358,36,>
2646,tie,bed,10,107,<
