,o1,o2,>,<,typical
1955,pasture,cow,1106,368,>
1956,ribbon,sheep,33,86,<
1957,rock,flock,9,118,<
1958,walkway,sign,731,130,>
1959,paint,bicycle,45,125,<
1960,number,crowd,32,408,<
1961,eye,zebra,95,13742,<
1962,zebra,cheetah,167,18,>
1963,helmet,fencing,14,177,<
1964,couch,shelf,526,69,>
1965,cord,blanket,36,286,<
1966,sign,rug,39,141,<
1967,pair,net,87,485,<
1968,rock,goggle,124,10,>
1969,watch,cow,2,180,<
1970,parsley,plate,73,220,<
1971,train,photograph,35,110,<
1972,point,bird,16,164,<
1973,paw,dog,240,3589,<
1974,wave,canoe,46,129,<
1975,coffee maker,cup,138,23,>
1976,roof,mountain,85,499,<
1977,pants,hat,86,26,>
1978,knob,carpet,8,153,<
1979,blanket,ring,141,10,>
1980,giraffe,body,138,44,>
1981,container,bench,40,199,<
1982,tree,rein,93,16,>
1983,hoodie,beach,16,89,<
1984,uniform,pair,623,39,>
1985,sign,alleyway,18,99,<
1986,shoe,camera,145,435,<
1987,bus,table,164,53,>
1988,balloon,cake,139,520,<
1989,limb,zebra,19,113,<
1990,squirrel,leaf,194,55,>
1991,toaster,fridge,3,123,<
1992,hand,hole,341,62,>
1993,series,car,126,37,>
1994,poster,key,262,4,>
1995,helmet,mouth,177,26,>
1996,light,cement,53,190,<
1997,umpire,hat,827,124,>
1998,broccoli,tip,137,7,>
1999,glass,pen,373,122,>
2000,sign,rider,44,206,<
2001,cat,telephone,142,28,>
2002,weather,beach,88,13,>
2003,lamb,eye,666,5,>
2004,light,photograph,32,235,<
2005,controller,jean,78,244,<
2006,hand,arch,8,95,<
2007,couple,bracelet,180,7,>
2008,roof,barn,26,178,<
2009,sheep,container,131,37,>
2010,skate board,helmet,706,132,>
2011,shirt,stain,210,33,>
2012,wire,microwave,23,111,<
2013,cone,table,30,72,<
2014,ripple,hand,128,41,>
2015,television,fixture,112,32,>
2016,grill,tree,79,375,<
2017,van,number,410,32,>
2018,bag,awning,92,325,<
2019,reflector,car,11,239,<
2020,stripe,bunch,108,254,<
2021,stroller,baby,195,78,>
2022,tail end,zebra,17,491,<
2023,bottle,desk,34,370,<
2024,object,cat,206,1002,<
2025,whisker,giraffe,13,132,<
2026,suit,leg,531,44,>
2027,dress,bench,268,680,<
2028,door,soap,97,6,>
2029,number,patch,49,188,<
2030,mountain,sign,2012,425,>
2031,donut,cookie,179,57,>
2032,window,barn,24,449,<
2033,jockey,boot,192,19,>
2034,salt,dish,22,92,<
2035,bear,tire,307,119,>
2036,shirt,bracelet,3706,162,>
2037,fan,cap,164,16,>
2038,lamp,house,16,167,<
2039,shirt,note,139,23,>
2040,computer,camera,135,31,>
2041,ear,pug,2,109,<
2042,sign,suit case,21,93,<
2043,sign,day,71,925,<
2044,sign,wrist band,113,13,>
2045,crowd,frisbee,152,64,>
2046,branch,eye,921,26,>
2047,blender,cat,2,109,<
2048,wrist,dog,4,137,<
2049,ingredient,banana,39,105,<
2050,glass,bow,122,44,>
2051,vegetation,branch,111,38,>
2052,border,broccoli,111,40,>
2053,guy,arm,1269,271,>
2054,horn,stone,26,126,<
2055,tan,letter,395,35,>
2056,jacket,necktie,200,54,>
2057,stove,cooker,121,23,>
2058,mirror,chrome,96,33,>
2059,light,surface,105,320,<
2060,building,garbage,295,53,>
2061,ceiling,chandelier,162,51,>
2062,bird,handle,131,51,>
2063,label,bunch,8,103,<
2064,microwave oven,outlet,129,1,>
2065,bride,cake,678,262,>
2066,table,towel,670,238,>
2067,lip,collar,10,102,<
2068,sock,stand,28,163,<
2069,shutter,bird,100,31,>
2070,day,spot,137,0,>
2071,pile,desk,23,159,<
2072,leg,umpire,28,426,<
2073,container,guy,17,135,<
2074,cap,skateboarding,4,101,<
2075,advertisement,net,9,116,<
2076,hand,bus,111,675,<
2077,guy,balloon,87,16,>
2078,animal,snout,211,15,>
2079,kite,pattern,96,11,>
2080,glass,blanket,120,430,<
2081,sheep,bird,636,102,>
2082,beer,shirt,221,573,<
2083,sign,refrigerator,43,264,<
2084,shirt,barrier,83,426,<
2085,keyboard,blind,49,358,<
2086,jacket,symbol,107,11,>
2087,tile,pillar,37,151,<
2088,dog,glass,2375,654,>
2089,seat,wheel,270,736,<
2090,cleat,bat,24,181,<
2091,tree,bud,171,56,>
2092,engine,flag,112,17,>
2093,wheel,pizza,14,119,<
2094,shoe,pink,38,115,<
2095,building,screw,109,5,>
2096,scarf,watch,115,17,>
2097,stone,animal,153,379,<
2098,racket,logo,751,74,>
2099,blender,cabinet,58,186,<
2100,book,mirror,185,666,<
2101,elephant,blouse,123,8,>
2102,toy,paw,133,10,>
2103,clock,sheet,29,92,<
2104,straw,eye,145,20,>
2105,bowl,potato,498,165,>
2106,spot,beak,116,13,>
2107,arm,bat,62,336,<
2108,zebra,foot,812,82,>
2109,pizza,hole,488,43,>
2110,bear,watch,126,17,>
2111,sneaker,bush,39,157,<
2112,umpire,cap,426,41,>
2113,flower,blender,43,133,<
2114,bag,blind,62,251,<
2115,lampshade,blanket,9,179,<
2116,horse,head,2256,202,>
2117,candle,towel,32,349,<
2118,backpack,path,11,171,<
2119,bottle,computer,33,295,<
2120,fan,blanket,39,93,<
2121,face,number,610,71,>
2122,blazer,shirt,382,71,>
2123,plate,outlet,139,4,>
2124,tail,jet,140,1274,<
2125,vessel,napkin,7,268,<
2126,mountain,tent,182,50,>
2127,boat,bow,628,76,>
2128,plate,tv,64,227,<
2129,sandwich,tree,174,50,>
2130,hat,carriage,33,567,<
2131,pant,symbol,122,16,>
2132,letter,stop light,20,98,<
2133,zebra,tale,124,11,>
2134,zebra,tuft,492,23,>
2135,pile,flower,317,121,>
2136,light,cellphone,89,253,<
2137,shirt,collar,2075,267,>
2138,logo,runway,13,127,<
2139,neck,plant,46,109,<
2140,spot,wave,42,316,<
2141,bike,trash,292,32,>
2142,barrier,pair,123,19,>
2143,furniture,light,121,7,>
2144,rain,bag,323,41,>
2145,baby,bottle,431,15,>
2146,outfit,elephant,94,415,<
2147,tail,calf,10,145,<
2148,bag,produce,37,113,<
2149,candle,shirt,294,1893,<
2150,pot,pattern,133,34,>
2151,smile,sweater,17,111,<
2152,leaf,poster,34,88,<
2153,mountain,boot,362,8,>
2154,jacket,cone,281,81,>
2155,shoe,t-shirt,244,1574,<
2156,cow,chest,86,16,>
2157,door,hinge,608,12,>
2158,door,stain,96,12,>
2159,plane,head,372,28,>
2160,person,button,117,37,>
2161,spoon,camera,22,78,<
2162,plate,bagel,412,96,>
2163,table,fur,142,53,>
2164,boot,belt,89,11,>
2165,moss,wood,31,130,<
2166,tide,surfer,104,17,>
2167,catcher,leg,415,84,>
2168,bike,case,99,15,>
2169,tie,flag,187,504,<
2170,glove,motorcyclist,2,113,<
2171,lamp,quilt,24,275,<
2172,leaf,trunk,351,1086,<
2173,cookie,donut,57,179,<
2174,scarf,hoodie,29,92,<
2175,hat,ship,22,109,<
2176,bed,object,377,7,>
2177,zipper,dog,18,348,<
2178,bike,helmet,5280,483,>
2179,ski,bench,84,22,>
2180,outlet,window,41,1082,<
2181,taillight,van,3,104,<
2182,hand,guitar,4,152,<
2183,design,tennis,0,154,<
2184,dress,doll,26,75,<
2185,field,horn,455,18,>
2186,vest,leaf,254,105,>
2187,design,ski,7,148,<
2188,light,sheet,123,565,<
2189,head,clothe,22,104,<
2190,boat,flag,5550,563,>
2191,key,shirt,41,1127,<
2192,eye,luggage,3,101,<
2193,crowd,leg,90,14,>
2194,logo,table,81,936,<
2195,smile,pant,27,133,<
2196,bird,nail,286,15,>
2197,strawberry,dish,12,159,<
2198,head,seat,63,178,<
2199,house,shrub,234,97,>
2200,watch,banana,13,182,<
2201,carrot,pan,75,294,<
2202,nut,plate,76,354,<
2203,key,plant,19,184,<
2204,apple,fence,22,100,<
2205,cabinet,book,533,110,>
2206,strap,bench,20,353,<
2207,tie,apple,86,16,>
2208,body,pair,142,52,>
2209,trash,letter,228,56,>
2210,bed,toilet,115,18,>
2211,band,cap,17,89,<
2212,banner,sticker,104,16,>
2213,beard,ear,383,28,>
2214,jean,leg,514,206,>
2215,donut,ring,374,60,>
2216,field,foot,363,15,>
2217,forest,track,119,37,>
2218,pant,pitcher,259,736,<
2219,donut,display,37,247,<
2220,wrist,jean,7,130,<
2221,lip,bear,21,138,<
2222,spoon,silverware,48,243,<
2223,carpet,mouse,129,12,>
2224,spot,ostrich,3,141,<
2225,clock,crown,125,16,>
2226,bicycle,tie,108,21,>
2227,frisbee,watch,426,33,>
2228,bowl,ketchup,148,33,>
2229,hand,coat,283,1224,<
2230,head,bottle,324,133,>
2231,t-shirt,container,111,23,>
2232,hallway,window,121,14,>
2233,wheel,table,110,457,<
2234,window,stripe,1204,2832,<
2235,ear,skirt,9,169,<
2236,goggle,snowsuit,9,104,<
2237,phone,button,3763,248,>
2238,bag,stand,72,190,<
2239,television,lamp,820,351,>
2240,feather,horse,15,225,<
2241,rail,shoe,355,38,>
2242,snow,beach,43,118,<
2243,ski resort,snow,360,45,>
2244,plate,foam,118,22,>
2245,window,streetlight,128,630,<
2246,star,wheel,40,156,<
2247,wristwatch,dog,18,114,<
2248,holder,dog,38,181,<
2249,bus,bumper,542,66,>
2250,animal,light,451,127,>
2251,helmet,outfit,47,464,<
2252,snow,backpack,2934,746,>
2253,truck,pant,804,250,>
2254,scooter,door,201,68,>
2255,cat nose,window,1,265,<
2256,bench,backpack,1254,237,>
2257,nut,fork,21,102,<
2258,car,bus,3235,16043,<
2259,decoration,elephant,26,119,<
2260,toilet,design,290,69,>
2261,television,sheet,40,131,<
2262,dot,building,11,120,<
2263,bunch,variety,8,148,<
2264,cat,kite,39,113,<
2265,stool,handle,149,23,>
2266,guy,container,135,17,>
2267,desk,control,105,13,>
2268,bush,pant,641,272,>
2269,advertisement,hat,363,73,>
2270,finger,dress,19,216,<
2271,tooth,rock,43,148,<
2272,sauce,dessert,14,113,<
2273,bridge,mirror,98,11,>
2274,beach,sign,318,86,>
2275,ram,fur,130,23,>
2276,bowl,biscuit,87,30,>
2277,suv,train,15,183,<
2278,plate,paper,1186,490,>
2279,giraffe,ripple,146,9,>
2280,cake,woman,118,40,>
2281,dress,orange,185,78,>
2282,finger,button,459,137,>
2283,balcony,tree,215,1134,<
2284,propeller,tire,127,18,>
2285,phone,monitor,57,572,<
2286,band,sign,78,297,<
2287,ornament,cat,12,122,<
2288,umbrella,belt,572,14,>
2289,hat,racquet,46,108,<
2290,curtain,trash,223,5,>
2291,letter,portion,50,264,<
2292,box,umbrella,247,706,<
2293,shoe,train,31,983,<
2294,arrow,bike,52,276,<
2295,pair,refrigerator,23,143,<
2296,sofa,pillow,3205,256,>
2297,wheel,skateboarding,3,479,<
2298,hotdog,finger,185,12,>
2299,towel,drain,368,15,>
2300,beak,body,2,100,<
2301,snow,wheel,346,74,>
2302,tent,kite,557,1420,<
2303,watch,ball,20,92,<
2304,van,mirror,521,88,>
2305,kid,orange,336,69,>
2306,hand,monkey,23,128,<
2307,dish,curtain,24,111,<
2308,window,roof,942,6444,<
2309,beef,dish,17,85,<
2310,dish,rice,371,97,>
2311,rim,building,23,127,<
2312,fork,arm,30,90,<
2313,stall,toilet,106,35,>
2314,ear,surf board,2,147,<
2315,plaque,tree,27,268,<
2316,bowl,rim,298,78,>
2317,label,apple,68,237,<
2318,ear,couch,18,541,<
2319,surface,ear,143,41,>
2320,lettering,vehicle,59,162,<
2321,cellphone,screen,337,88,>
2322,cake,flame,206,27,>
2323,television,box,359,90,>
2324,train,rivet,118,2,>
2325,refrigerator,rack,92,15,>
2326,glass,clothing,40,149,<
2327,number,stand,34,300,<
2328,flag,tarp,9,109,<
2329,arm rest,dog,46,120,<
2330,key,wood,19,271,<
2331,display,stove,13,99,<
2332,flower,bedspread,9,264,<
2333,ribbon,table,36,222,<
2334,piano,candle,107,0,>
2335,bottom,skater,32,161,<
2336,bowl,lunch,1,150,<
2337,jacket,suit,538,1286,<
2338,buckle,dog,0,503,<
2339,eye,banana,44,1150,<
2340,mane,animal,66,485,<
2341,cord,pillow,94,697,<
2342,plane,glass,305,84,>
2343,divider,sign,175,37,>
2344,pillow,horse,24,107,<
2345,kite,stone,245,74,>
2346,plate,fork,15293,3591,>
2347,umbrella,giraffe,56,195,<
2348,dog,magazine,306,51,>
2349,sail boat,house,87,28,>
2350,pot,toaster,76,31,>
2351,pant,tent,116,305,<
2352,boot,couple,16,95,<
2353,truck,trim,114,42,>
2354,baby,person,107,30,>
2355,pillow,object,435,76,>
2356,lamp,horse,27,185,<
2357,mousepad,mouse,203,54,>
2358,light,pastry,26,122,<
2359,elephant,letter,265,20,>
2360,rope,shoe,178,22,>
2361,tail,ripple,33,114,<
2362,bush,leg,718,174,>
2363,chain,necklace,31,87,<
2364,bark,eye,92,21,>
2365,container,desk,23,161,<
2366,bus,rubber,96,8,>
2367,backpack,bracelet,122,7,>
2368,bristle,brush,41,194,<
2369,steak,glass,104,17,>
2370,wrist,glass,15,179,<
2371,gold,letter,91,27,>
2372,window,shrub,209,815,<
2373,bowl,skin,141,10,>
2374,tire,handle bar,151,23,>
2375,cleat,frisbee,100,443,<
2376,drawer,steel,20,103,<
2377,crowd,shirt,3361,546,>
2378,toilet,plug,121,1,>
2379,flag,mountain,55,785,<
2380,towel,apron,19,170,<
2381,apron,bucket,185,45,>
2382,clock,ball,267,114,>
2383,dog,wire,621,167,>
2384,fence,lamp,116,21,>
2385,tarmac,tree,141,47,>
2386,ribbon,teddy,49,274,<
2387,hand,pizza,630,2583,<
2388,table,binder,132,24,>
2389,court,number,124,4,>
2390,dog,band,419,33,>
2391,glass,tank,11,90,<
2392,restaurant,cup,135,8,>
2393,pasture,dog,105,3,>
2394,wave,skin,157,11,>
2395,bottom,animal,88,354,<
2396,helmet,bridge,7,155,<
2397,button,suit,56,1290,<
2398,landscape,cow,230,58,>
2399,tomato,bottle,67,164,<
2400,stone,eye,398,19,>
2401,logo,wave,22,1073,<
2402,banana,banana peel,1195,231,>
2403,paper,bottle,498,184,>
2404,snow,name,125,40,>
2405,logo,car,138,1128,<
2406,screen,microphone,137,21,>
2407,suit case,zipper,133,3,>
2408,brick,kettle,3,208,<
2409,sock,advertisement,29,111,<
2410,light,ramp,41,297,<
2411,dog,string,383,146,>
2412,dog,snout,544,77,>
2413,bit,cheese,28,102,<
2414,pot,pole,51,127,<
2415,stove,plate,422,71,>
2416,stripe,cake,78,441,<
2417,glove,t-shirt,63,158,<
2418,vest,crowd,13,134,<
2419,table,shaker,120,12,>
2420,mountain,hand,609,87,>
2421,blind,toaster,104,10,>
2422,wave,rainbow,12,135,<
2423,foot,eye,535,30,>
2424,spot,day,0,137,<
2425,keyboard,animal,113,25,>
2426,clock,shield,118,13,>
2427,ear,tv,26,320,<
2428,umpire,base,597,99,>
2429,napkin,wine,96,229,<
2430,leaf,couple,110,376,<
2431,cat,glass,2013,544,>
2432,dog,fabric,439,149,>
2433,bottle,faucet,118,285,<
2434,event,kite,106,39,>
2435,bulb,toilet,3,187,<
2436,boot,jockey,19,192,<
2437,glass,dot,169,44,>
2438,leg,bull,69,279,<
2439,bucket,apron,45,185,<
2440,watch,racket,11,196,<
2441,shingle,roof,76,197,<
2442,cabinet,stack,376,31,>
2443,candle,light,188,445,<
2444,hand,mouse,286,109,>
2445,finger,nail,210,7,>
2446,eye,pony,2,177,<
2447,sticker,scooter,5,95,<
2448,curtain,stool,211,76,>
2449,mushroom,knife,49,147,<
2450,tile,sink,2003,5127,<
2451,ear,hill,31,643,<
2452,glare,table,29,141,<
2453,wheel,tower,41,132,<
2454,tree,window,45486,4816,>
2455,watch,fence,14,232,<
2456,card,letter,109,21,>
2457,counter,candle,122,17,>
2458,letter,building,554,7302,<
2459,curtain,toy,132,41,>
2460,apron,leaf,150,6,>
2461,apple,bottom,562,104,>
2462,building,collar,151,17,>
2463,plane,tail,5395,648,>
2464,mushroom,board,21,88,<
2465,liquid,animal,3,103,<
2466,fence,tuft,96,5,>
2467,door,plane,138,3337,<
2468,muffler,tire,25,84,<
2469,dugout,shoe,103,22,>
2470,number,walkway,10,264,<
2471,spot,vegetable,22,189,<
2472,letter,shelf,5,186,<
2473,outlet,door,37,1212,<
2474,railing,seat,79,31,>
2475,dress,hand,1255,313,>
2476,logo,net,21,292,<
2477,shirt,hand,15875,4676,>
2478,jacket,keyboard,233,25,>
2479,wing,tarmac,28,84,<
2480,trash,frisbee,48,112,<
2481,camera,sticker,208,21,>
2482,bowl,platter,47,323,<
2483,vest,shoe,451,91,>
2484,rust,toilet,6,157,<
2485,stripe,tarp,31,98,<
2486,dresser,light,232,40,>
2487,fence,lettering,263,37,>
2488,zebra,snow,431,162,>
2489,lamb,herd,4,107,<
2490,juice,table,86,302,<
2491,outfit,sock,170,24,>
2492,stripe,pant,414,1261,<
2493,bowl,cow,29,107,<
2494,truck,chain,220,70,>
2495,hand,doll,50,224,<
2496,pizza,meal,86,286,<
2497,monitor,key,2194,35,>
2498,number,jean,48,388,<
2499,suit,pillow,145,18,>
2500,face,jean,87,358,<
2501,board,pool,45,107,<
2502,carrot,strawberry,163,57,>
2503,ear,beard,28,383,<
2504,blanket,basket,238,30,>
2505,jet,star,97,15,>
2506,napkin,button,120,42,>
2507,horse,hoodie,252,70,>
2508,fixture,stove,29,102,<
2509,button,blender,13,726,<
2510,day,truck,260,35,>
2511,flower,statue,270,746,<
2512,rose,pink,89,35,>
2513,skirt,cup,121,18,>
2514,surfer,string,193,34,>
2515,refrigerator,stack,169,10,>
2516,garbage,fence,11,130,<
2517,handle,pan,91,506,<
2518,thumb,knife,29,80,<
2519,giraffe,ladder,148,28,>
2520,track,coat,640,226,>
2521,shoe,ramp,71,807,<
2522,suv,frisbee,25,82,<
2523,paint,letter,782,182,>
2524,curtain,mouth,145,6,>
2525,building,automobile,77,26,>
2526,mountain,frisbee,177,65,>
2527,donut,candle,92,34,>
2528,label,knife,30,104,<
2529,bed,bottle,563,9,>
2530,pile,shoe,323,72,>
2531,hat,t-shirt,335,1296,<
2532,triangle,shirt,47,148,<
2533,dog,herd,42,323,<
2534,sandwich,beef,221,31,>
2535,spectator,number,493,60,>
2536,paint,jean,66,187,<
2537,beam,leaf,98,23,>
2538,building,pot,255,42,>
2539,blanket,string,73,29,>
2540,skirt,sneaker,139,58,>
2541,sconce,window,30,81,<
2542,herd,pole,135,7,>
2543,gate,train,122,519,<
2544,marble,towel,112,31,>
2545,pant,kid,476,1858,<
2546,dog,meat,351,46,>
2547,bow,dress,38,297,<
2548,plate,substance,110,14,>
2549,pillow,bracelet,183,8,>
2550,drawer,curtain,69,567,<
2551,tv,wire,415,63,>
2552,fruit,sticker,908,12,>
2553,boot,boat,23,79,<
2554,door,leg,484,158,>
2555,mug,desk,58,214,<
2556,vase,microwave,19,94,<
2557,table,thumb,137,46,>
2558,microwave,button,1507,46,>
2559,paper,microwave,48,228,<
2560,ladder,plane,104,485,<
2561,walkway,jean,99,35,>
2562,logo,advertisement,40,202,<
2563,skin,shirt,123,304,<
2564,elephant,logo,146,5,>
2565,spoon,mushroom,105,34,>
2566,tomato,squash,36,86,<
2567,tile,pool,13,101,<
2568,head,wave,139,2972,<
2569,cat,cup,1130,150,>
2570,candle,plant,74,253,<
2571,shoe,ski,43,610,<
2572,tv,bench,29,90,<
2573,uniform,hand,510,46,>
2574,guy,keyboard,99,16,>
2575,paper,office,1,123,<
2576,keyboard,arrow,252,1,>
2577,plant,dot,171,7,>
2578,door,boot,143,44,>
2579,train,wind shield,208,16,>
2580,handle,glass,221,924,<
2581,frame,giraffe,23,95,<
2582,bench,watch,511,31,>
2583,tire,canopy,24,87,<
2584,helmet,skate board,132,706,<
2585,hand,cake,466,1504,<
2586,bridge,ripple,524,68,>
2587,blanket,wrinkle,205,35,>
2588,machinery,donut,95,5,>
2589,leg,pitcher,100,346,<
2590,bag,eye,586,49,>
2591,napkin,carrot,182,68,>
2592,ladder,elephant,10,100,<
2593,dog,brick,2063,544,>
2594,lid,banana,43,327,<
2595,lip,flower,17,113,<
2596,bear,arm,2157,614,>
2597,shirt,head light,190,19,>
2598,number,base,52,452,<
2599,wheel,marking,21,154,<
2600,couple,head,418,36,>
2601,pen,phone,53,304,<
2602,bed,bedsheet,162,41,>
2603,flower,garden,51,396,<
2604,hole,sign,93,1168,<
2605,dish,stove,58,212,<
2606,necklace,pizza,26,435,<
2607,skier,stripe,312,14,>
2608,letter,dog,85,2319,<
2609,screw,knife,1,119,<
2610,bedspread,towel,96,5,>
2611,window,wind shield,21,206,<
2612,letter,liquid,21,115,<
2613,bowl,cucumber,422,65,>
2614,giraffe,arch,135,39,>
2615,person,car,100,301,<
2616,station,window,188,55,>
2617,stove,letter,145,4,>
2618,couch,computer,269,52,>
2619,shoe,vehicle,73,348,<
2620,day,clock,265,32,>
2621,pole,photograph,14,113,<
2622,post,bed,31,248,<
2623,leg,park,15,109,<
2624,uniform,window,290,34,>
2625,cabinet,soap,103,1,>
2626,stove,stack,99,22,>
2627,giraffe,hoof,1476,45,>
2628,finger,orange,40,109,<
2629,pasture,animal,198,46,>
2630,dirt,train,203,637,<
2631,orange,statue,50,154,<
2632,doll,shelf,20,108,<
2633,dress,woman,382,66,>
2634,hole,cake,4,207,<
2635,forest,shirt,572,49,>
2636,racket,fence,208,667,<
2637,building,basket,287,64,>
2638,plate,star,344,11,>
2639,tree,stake,112,9,>
2640,knob,light,122,561,<
2641,figure,umbrella,31,81,<
2642,cat,television remote,78,24,>
2643,computer,eye,152,3,>
2644,pizza,carpet,75,31,>
2645,field,tan,175,35,>
2646,object,couch,30,206,<
2647,container,wheel,161,46,>
2648,shade,rock,123,48,>
2649,portion,keyboard,28,90,<
2650,pair,umbrella,401,3290,<
2651,stripe,bowl,104,319,<
2652,muffin,egg,82,28,>
2653,reflector,bicycle,2,387,<
2654,tail,pile,11,114,<
2655,sign,illustration,103,14,>
2656,umbrella,cactus,369,114,>
2657,crowd,suit,149,56,>
2658,porch,house,52,356,<
2659,bottle,paw,93,22,>
2660,plate,logo,557,59,>
2661,spectator,soccer,7,125,<
2662,bed,seat,106,18,>
2663,bag,book,1129,435,>
2664,menu,tomato,90,20,>
2665,house,ramp,44,153,<
2666,coat,window,2051,757,>
2667,teddy bear nose,teddy,3,266,<
2668,body,window,1118,114,>
2669,helmet,cement,16,93,<
2670,speaker,cat,152,838,<
2671,kite,strap,151,58,>
2672,receipt,pizza,1,106,<
2673,key,tree,5,150,<
2674,mouse,computer,110,1964,<
2675,place mat,fork,313,50,>
2676,house,flag,618,85,>
2677,container,board,119,410,<
2678,spoon,button,138,18,>
2679,cat,figurine,267,29,>
2680,trunk,letter,138,11,>
2681,handle,mug,59,315,<
2682,light,canopy,49,142,<
2683,symbol,shoe,19,90,<
2684,bush,moss,108,35,>
2685,fur,toy,28,80,<
2686,pizza,blind,92,26,>
2687,butter,bowl,17,209,<
2688,light,pink,34,141,<
2689,bird,spot,2327,308,>
2690,bed,toddler,92,21,>
2691,surface,bear,93,301,<
2692,container,pan,87,257,<
2693,field,pole,924,139,>
2694,ramp,foot,130,49,>
2695,shoe,hotdog,13,113,<
2696,shirt,pail,115,16,>
2697,beak,crane,5,111,<
2698,letter,bear,100,1215,<
2699,camera,pen,94,18,>
2700,mouse,sweater,11,139,<
2701,tarp,letter,271,6,>
2702,antenna,tree,50,232,<
2703,broccoli,pizza,79,544,<
2704,cabinet,pattern,126,21,>
2705,bottle,cabinet,58,1132,<
2706,field,bottom,216,27,>
2707,track,car,661,180,>
2708,window,pot,1008,362,>
2709,walkway,window,1645,112,>
2710,knife,cabinet,41,385,<
2711,surfer,foot,1464,88,>
2712,crowd,hat,1386,179,>
2713,switch,carpet,0,175,<
2714,quilt,baby,27,74,<
2715,bench,mulch,163,67,>
2716,plane,coat,126,16,>
2717,letter,signal,23,180,<
2718,kid,leaf,546,78,>
2719,sign,belt,193,62,>
2720,toy,foot,184,37,>
2721,nail polish,hand,9,145,<
2722,guy,tooth,111,17,>
2723,train,label,149,8,>
2724,beak,cat,8,120,<
2725,curtain,handle,782,37,>
2726,plant,kite,95,227,<
2727,boot,bike,44,559,<
2728,tool,table,32,81,<
2729,frame,design,137,48,>
2730,keyboard,cpu,29,163,<
2731,pedestrian,van,45,105,<
2732,hand,truck,134,453,<
2733,tennis,light,179,25,>
2734,semi,truck,128,51,>
2735,outfit,button,116,5,>
2736,pant,center,30,77,<
2737,bread,stove,37,87,<
2738,apron,spoon,207,30,>
2739,wheel,jet,34,1354,<
2740,watch,couch,19,322,<
2741,tie,sofa,19,84,<
2742,flower,bride,50,952,<
2743,decoration,horse,12,129,<
2744,crane,train,63,272,<
2745,bear,bubble,529,156,>
2746,hydrant,cap,370,22,>
2747,catcher,cap,435,48,>
2748,sofa,fixture,123,11,>
2749,hat,advertisement,73,363,<
2750,kid,coat,441,169,>
2751,ear,clothe,12,148,<
2752,lamp,carpet,395,1133,<
2753,pattern,table cloth,35,124,<
2754,portrait,table,30,117,<
2755,spot,curtain,15,205,<
2756,brick,apron,15,106,<
2757,shirt,waist,79,21,>
2758,letter,pick,12,105,<
2759,kitchen,cabinet,1555,385,>
2760,kite,bottom,277,80,>
2761,hat,toy,99,237,<
2762,kite,dot,103,1,>
2763,helmet,logo,488,202,>
2764,key,pair,33,315,<
2765,glove,hole,73,30,>
2766,pillow,kid,47,353,<
2767,shirt,coffee maker,140,8,>
2768,shoulder,ear,107,19,>
2769,window,candle,1032,132,>
2770,costume,shirt,277,55,>
2771,bar,pitcher,107,14,>
2772,clock,carving,156,50,>
2773,pole,spectator,65,156,<
2774,glass,base,308,109,>
2775,vent,truck,23,156,<
2776,window,shed,21,122,<
2777,cup,phone,250,592,<
2778,pizza,fork,6014,581,>
2779,thumb,button,433,55,>
2780,rope,truck,46,153,<
2781,train,rope,114,7,>
2782,table,microwave,613,190,>
2783,sticker,bicycle,15,149,<
2784,engine,aircraft,17,194,<
2785,lemon,basket,28,82,<
2786,shirt,church,29,101,<
2787,stair,jean,183,72,>
2788,tie,mannequin,38,151,<
2789,lamp,bedspread,35,814,<
2790,train,balcony,225,29,>
2791,eye,cub,0,152,<
2792,tree,root,107,19,>
2793,cement,shoe,208,22,>
2794,jersey,soccer,9,356,<
2795,leg,suit,44,531,<
2796,shirt,rider,117,416,<
2797,horse,horn,247,53,>
2798,suit case,handle,309,10,>
2799,statue,coat,161,37,>
2800,jersey,letter,257,8,>
2801,car,garbage,334,115,>
2802,umbrella,tile,664,198,>
2803,bed,mirror,1738,272,>
2804,cord,keyboard,337,1297,<
2805,handle,urn,10,90,<
2806,umbrella,decoration,224,87,>
2807,ball,cap,623,240,>
2808,bolt,fence,11,147,<
2809,bus,awning,566,103,>
2810,outlet,tv,6,222,<
2811,mug,cake,44,198,<
2812,helmet,dirt,333,1694,<
2813,book,outlet,142,12,>
2814,suit,mustache,180,17,>
2815,sticker,shirt,83,1050,<
2816,leaf,dessert,1,134,<
2817,bin,apple,281,70,>
2818,guy,bat,308,113,>
2819,outfit,plate,89,28,>
2820,stripe,hole,116,35,>
2821,surface,car,207,86,>
2822,tree,chain,1692,481,>
2823,jacket,court,28,89,<
2824,monitor,mug,342,36,>
2825,noodle,onion,106,42,>
2826,bulb,mirror,3,204,<
2827,zipper,handle,41,154,<
2828,vent,pillow,40,188,<
2829,umpire,shoe,1174,70,>
2830,arm,wood,94,260,<
2831,snout,horse,14,309,<
2832,table,case,265,99,>
2833,board,paper,441,141,>
2834,sign,guy,401,1517,<
2835,mouth,ski,6,133,<
2836,building,slat,92,22,>
2837,frame,bench,109,257,<
2838,bleacher,shirt,647,210,>
2839,box,bike,81,301,<
2840,piano,plant,97,8,>
2841,snow,tent,132,52,>
2842,shoe,wood,139,647,<
2843,outfit,leaf,128,31,>
