,o1,o2,>,<,typical
7344,bus,safety jacket,176,14,>
7345,bush,herd,52,424,<
7346,frisbee,sweat jacket,161,181,">,<"
7347,part,baseball player,183,2053,<
7348,metal pole,road side,152,266,">,<"
7349,police horse,road side,125,55,">,<"
7350,brick front,dormer window,175,17,>
7351,town car,business window,388,34,>
7352,motorbike,motorcycle tire,1199,150,>
7353,nike headband,powder snow,28,128,<
7354,bottom,tree branch,55,104,">,<"
7355,carrot,carrot root,161,41,>
7356,picture frame,vase,89,62,">,<"
7357,fruit,lemon,220,20,>
7358,bathroom tile,bathroom towel,78,185,<
7359,plane cockpit,delta plane,10,150,<
7360,train track,train tunnel,123,37,>
7361,bunch banana,sunlight reflection,93,16,>
7362,microwave door,kitchen,12,178,<
7363,foam wave,surfer hand,91,10,>
7364,bird foot,water bird,33,490,<
7365,table top,flower,221,91,>
7366,surfing suit,board surfer,630,1412,">,<"
7367,picnic bench,grass section,69,39,">,<"
7368,bush,clock tower,17,181,<
7369,ski top,snowboarder,84,243,<
7370,flower,cherry wood,50,234,<
7371,board surfer,curl,37,64,">,<"
7372,train front,car top,72,82,">,<"
7373,food,onion,229,32,>
7374,bunch banana,curbside,126,61,">,<"
7375,baseball batting helmet,bat batter,88,1388,<
7376,laptop screen,dog,39,67,">,<"
7377,police boat,coast guard boat,105,148,">,<"
7378,rain jacket,jacket,59,89,">,<"
7379,base ball hat,tennis shirt,32,290,<
7380,base ball glove,baseball player,51,954,<
7381,nike shirt,brick building,14,308,<
7382,door frame,dog,88,53,">,<"
7383,winter jacket,group,22,86,<
7384,bracket,triangle street sign,7,116,<
7385,fork,pizza pan,16,138,<
7386,dog,leather couch,22,107,<
7387,toilet paper,bathroom window,10,318,<
7388,bunch banana,crust edge,397,30,>
7389,ben clock,bay window,40,75,">,<"
7390,baseball player number,league baseball player,25,451,<
7391,toilet flushing handle,toilet,10,195,<
7392,bush tree,evening sun,106,114,">,<"
7393,time clock,phone book,94,70,">,<"
7394,batter hand,wrinkle,133,6,>
7395,orange,plane tail,104,94,">,<"
7396,sailboat,yacht,124,121,">,<"
7397,glass window,clock face number,110,20,>
7398,acacia tree,wood,83,34,>
7399,jacket,person arm,215,27,>
7400,leg,cap,86,19,>
7401,vegetation,part,285,19,>
7402,tennis racket,person arm,677,270,>
7403,price sign,navel orange,85,99,">,<"
7404,food plate,dinner,44,125,<
7405,guy,field front,67,49,">,<"
7406,napkin,pizza top,179,147,">,<"
7407,train light,train station,7,169,<
7408,brick house,shade tree,96,35,>
7409,object,grizzly bear,16,89,<
7410,fire hydrant,row house,88,202,">,<"
7411,bedside table lamp,mirror,21,95,<
7412,mac laptop,ear,362,3,>
7413,laptop mouse,apple brand laptop,14,143,<
7414,tower clock,clock tower building,275,2458,<
7415,snow patch,horse,53,61,">,<"
7416,cake tray,cake,125,46,>
7417,dog,gala apple,136,20,>
7418,clock tower,brick side,101,7,>
7419,home plate umpire,baseball game,156,811,<
7420,rectangle window,sign letter,267,106,>
7421,vegetable,pizza cheese,108,169,">,<"
7422,sheep head,wool sheep,54,307,<
7423,market umbrella,portion,144,25,>
7424,tan,zebra stripe,99,37,>
7425,street lamp,cop car,97,80,">,<"
7426,shirt button,necktie,56,198,<
7427,clydesdale horse,hat,225,2,>
7428,flag,pine tree,10,104,<
7429,shower tile,shower curtain,110,681,<
7430,horse,boat window,117,2,>
7431,cow,market sign,149,0,>
7432,surfboard,ocean spray,112,250,">,<"
7433,shade tree,bus door,222,45,>
7434,mac book,eyeglass,61,75,">,<"
7435,group,sheep,3439,999,>
7436,beach flying kite,jean,104,22,>
7437,top,mom giraffe,65,688,<
7438,giraffe body,grass giraffe,51,161,<
7439,toilet,shower door,40,138,<
7440,glove catcher,catcher,68,53,">,<"
7441,airport light,plane tail,124,108,">,<"
7442,tennis net,player pant,261,39,>
7443,sheep wool,sheep,905,2783,<
7444,tablecloth,pizza top,130,40,>
7445,jacket,building front,100,217,">,<"
7446,trolley,street car,84,24,>
7447,gravel rock,flower,75,49,">,<"
7448,baby horse,building window,128,0,>
7449,amtrak train,box car,95,9,>
7450,building front,parking lot,58,201,<
7451,pasture field,group,181,82,">,<"
7452,paisley tie,beard,67,33,">,<"
7453,beer bottle,sausage pizza,12,130,<
7454,salad bowl,salad,271,189,">,<"
7455,shoe,person skateboard,27,104,<
7456,train top,train wire,18,120,<
7457,giraffe skin,mom giraffe,7,114,<
7458,ear,mac laptop,3,362,<
7459,water surfer,body wetsuit,26,106,<
7460,toilet seat hinge,toilet,16,520,<
7461,trunk tree,baby elephant trunk,161,30,>
7462,boat,dog,769,849,">,<"
7463,subway sign,traffic light,130,99,">,<"
7464,wood park bench,metal park bench,125,82,">,<"
7465,sign letter,triangle street sign,182,2996,<
7466,grass patch,sheep head,116,138,">,<"
7467,gravel,decker train,160,584,<
7468,jean,cobblestone,144,54,>
7469,soup bowl,cafeteria tray,55,122,">,<"
7470,city bus,bus sign,310,9,>
7471,pillow,bed spread,62,327,<
7472,surfboard,person reflection,75,43,">,<"
7473,landing gear,air front,149,123,">,<"
7474,tuna sandwich,napkin,183,51,>
7475,wine glass,beer glass,89,50,">,<"
7476,suitcase,stripe,181,22,>
7477,horse head,horse mouth,164,1,>
7478,glass part,house plant,53,133,<
7479,fire truck,ambulance,101,36,>
7480,backpack,metal pole,58,64,">,<"
7481,transit bus,street sign,186,12,>
7482,rice,chopstick,49,98,">,<"
7483,baseball uniform shirt,baseball pant,66,60,">,<"
7484,orange,windsurfing kite,40,72,">,<"
7485,snowboard jacket,ski lift,51,58,">,<"
7486,pot plant,flower,939,364,>
7487,powder snow,snow cap,371,28,>
7488,tomato pizza,fork,658,63,>
7489,hat riding horse,leather hat,221,13,>
7490,work horse,horse cart,153,70,">,<"
7491,bag,person leg,89,30,>
7492,kitchen table,plate,58,63,">,<"
7493,ski pant,ski pole skier,21,112,<
7494,snow,group,253,511,">,<"
7495,ski hat,pine tree,91,719,<
7496,banana flower,banana stem,73,33,">,<"
7497,bunch,sunglass,130,17,>
7498,decker bus,road side,279,104,>
7499,round tree,group,58,48,">,<"
7500,brush head,zebra mane,311,93,>
7501,tile,shag rug,34,96,<
7502,border,tennis player,40,69,">,<"
7503,sheep dog,rubber ball,120,0,>
7504,crust edge,bread bowl,8,97,<
7505,suit surfer,foot,162,10,>
7506,grass field zebra,evening sun,54,60,">,<"
7507,fork,bread plate,77,305,<
7508,player pant,skateboard,181,253,">,<"
7509,horse leg,plaid shirt,27,145,<
7510,baby tree,chain link fence,67,57,">,<"
7511,lattice fence,part,94,7,>
7512,surfboard,baby,46,62,">,<"
7513,house cat,sun,122,74,">,<"
7514,cockpit,jet,1,101,<
7515,life boat,sailboat,206,307,">,<"
7516,rock,bush tree,153,579,<
7517,pair,taxi car,40,118,<
7518,wine glass,fishbowl,116,21,>
7519,baby,mom elephant,25,86,<
7520,bottle,collard shirt,11,144,<
7521,train track,bus,79,21,>
7522,desk,computer screen,140,94,">,<"
7523,toilet bowl,house cat,56,51,">,<"
7524,conifer tree,grove tree,49,96,">,<"
7525,buildinga building,collard shirt,113,15,>
7526,cow,iron leaf,84,36,>
7527,leaf,stop sign,56,183,<
7528,pug dog,ear,262,3,>
7529,blanket,hospital bed,63,161,<
7530,market umbrella,person leg,222,4,>
7531,grouping,cow,94,24,>
7532,door fridge,door handle,132,2,>
7533,wii,wii control,159,59,>
7534,charter plane,jet engine,140,11,>
7535,cat head,orange,22,90,<
7536,focus tree,base ball field,71,71,">,<"
7537,backpack,snowboard jacket,27,92,<
7538,gate,shade tree,45,103,">,<"
7539,wine glass,placemat,75,80,">,<"
7540,vanilla cup cake,cupcake,66,153,">,<"
7541,glass window,town car,101,3937,<
7542,ground elephant,elephant foot,381,13,>
7543,fence wire,mom elephant,19,95,<
7544,motorcycle rider,motorcyclist,42,74,">,<"
7545,ski flag,fir tree,36,87,<
7546,dog,puppy,513,907,">,<"
7547,broccoli,dinner,12,279,<
7548,metal pole,rail train,25,215,<
7549,floor lamp,part,132,27,>
7550,cat eye,keyboard,11,182,<
7551,kitchen stove,stove door,185,38,>
7552,train station building,iron leaf,151,25,>
7553,flower,lemon tree,45,126,<
7554,beach umbrella,ocean wave,85,56,">,<"
7555,baseball bat,hat,131,13,>
7556,tomato half,carrot,115,14,>
7557,navel orange,dot,100,7,>
7558,scooter,part,95,31,>
7559,orange,street car,98,48,">,<"
7560,window,horse,24,148,<
7561,base ball hat,sox player,33,191,<
7562,grass field zebra,zebra snout,448,0,>
7563,lettering,triangle street sign,59,239,<
7564,snowboard guy,powder snow,925,684,">,<"
7565,grove tree,snowboard,88,83,">,<"
7566,tee shirt,sock,121,5,>
7567,t-shirt,finger,134,18,>
7568,baseball player,shin guard,495,5,>
7569,computer part,house cat,19,177,<
7570,sport motorcycle,motorcycle racer,123,42,>
7571,clock face,pillar,47,100,">,<"
7572,towel,bathroom tile,483,271,">,<"
7573,door car,truck window,121,35,>
7574,olive,glass,36,135,<
7575,cat fur,dog,29,277,<
7576,collard shirt,bottle,144,11,>
7577,nike shirt,cell phone camera,59,41,">,<"
7578,motorcycle tire,headlight,172,4,>
7579,castle building,tower clock,136,25,>
7580,meat,pizza cheese,40,73,">,<"
7581,grass field zebra,vegetation,120,158,">,<"
7582,motorcycle helmet,taxi car,2,102,<
7583,water bottle,bed sheet,3,118,<
7584,airport truck,tarmac,29,95,<
7585,bamboo tree,bamboo stick,116,70,">,<"
7586,tree leaf,focus tree,26,298,<
7587,apple brand laptop,laptop screen,174,57,>
7588,price,plenty fruit,27,99,<
7589,tower building,downtown building,133,31,>
7590,scarf,jacket,173,394,">,<"
7591,truck tire,cement truck,1,118,<
7592,baseball uniform shirt,baseball game,18,252,<
7593,part,steeple,28,127,<
7594,tomato slice,spinach pizza,13,225,<
7595,belt,hand,31,111,<
7596,door car,advertisement sign,103,4,>
7597,office window,focus tree,63,346,<
7598,tennis court,tennis netting,79,48,">,<"
7599,tie,shirt pocket,130,10,>
7600,surfboard,peace sign,54,115,">,<"
7601,mac keyboard,pen,327,11,>
7602,crystal glass,suit shirt,39,85,">,<"
7603,baby,baby stroller,29,121,<
7604,mac laptop,computer key,234,0,>
7605,teddy bear,bow tie,327,21,>
7606,control key,computer part,62,87,">,<"
7607,powder snow,glove skier,713,873,">,<"
7608,refrigerator,microwave oven,239,16,>
7609,tank top,bush,33,82,<
7610,cat eye,curtain,0,103,<
7611,car,jean,322,413,">,<"
7612,flag,soccer shirt,25,106,<
7613,street edge,bus front,12,117,<
7614,railing,horse,8,107,<
7615,flamingo,water body,29,126,<
7616,building front,umbrella,225,191,">,<"
7617,orange,sign letter,481,65,>
7618,deck passenger bus,bus door,286,26,>
7619,cat,mirror image,54,72,">,<"
7620,pole street sign,street lamp,73,151,">,<"
7621,passenger plane,plane tail,376,16,>
7622,steam,train front,229,77,>
7623,pole top,flower,51,89,">,<"
7624,starbuck sign,group,9,99,<
7625,lemon tree,iron leaf,156,16,>
7626,tablecloth,sausage pizza,66,106,">,<"
7627,wave,water splash,250,121,">,<"
7628,brick building,license plate,320,2,>
7629,calf,horse,76,40,">,<"
7630,brick building,stone building,53,52,">,<"
7631,grass patch,soccer,3,127,<
7632,letter,tennis racquet,19,162,<
7633,skier,ski lift pole,108,107,">,<"
7634,bunch banana,plantain,279,321,">,<"
7635,shade tree,wood bench,84,32,>
7636,grass field zebra,water body,72,58,">,<"
7637,bunch banana,sunglass,231,69,>
7638,paint horse,flower,140,70,">,<"
7639,shutter,maple tree,4,99,<
7640,tank top,tennis shoe,460,109,>
7641,pizza top,pizza,84,425,<
7642,toy cat,baby cat,103,78,">,<"
7643,snow,snowboard track,67,107,">,<"
7644,baby,something,55,47,">,<"
7645,focus tree,sign post,98,66,">,<"
7646,pair,stripe shirt,73,191,<
7647,tennis shirt,field front,156,293,">,<"
7648,bush,part,1974,310,>
7649,bus front,jacket,224,126,">,<"
7650,glove skier,ski hat,140,11,>
7651,crowd,tennis net,99,81,">,<"
7652,arm,ski pole,52,80,">,<"
7653,mushroom pizza,freezer part,488,9,>
7654,longhorn cow,pole,110,0,>
7655,person arm,surfboard riding wave,3,314,<
7656,glass window,car,16,713,<
7657,chair cat,cat paw,3295,124,>
7658,metal fence,bear,83,54,">,<"
7659,bus side,bus window,163,66,>
7660,shrub,leaf,267,42,>
7661,skateboard,watch,283,28,>
7662,lettering,air canada plane,12,127,<
7663,race horse,horse race,30,85,<
7664,tan,brick,121,94,">,<"
7665,grass field,train car,87,22,>
7666,ball cap,pair,56,148,<
7667,sleeve shirt,ear,195,1,>
7668,blender lid,blender,38,205,<
7669,broccoli top,fork,71,52,">,<"
7670,lawn,trim window,109,6,>
7671,bus,building roof,124,49,>
7672,head,surf board,3,183,<
7673,plaid shirt,focus tree,45,121,<
7674,shuttle bus,bus destination sign,170,5,>
7675,cell phone,air front,165,74,">,<"
7676,town car,pole clock,37,133,<
7677,baseball glove,catcher mitt,86,26,>
7678,group,sneaker,248,10,>
7679,ski pole,ski cap,536,71,>
7680,clock hand,building clock,10,227,<
7681,skateboarding shoe,nike sock,106,42,>
7682,ski jacket,skiing pole,213,223,">,<"
7683,baseball field,base umpire,137,23,>
7684,coach bus,part,148,15,>
7685,bed cover,bed blanket,89,68,">,<"
7686,horse,shirt,712,70,>
7687,bottom,freight train,23,98,<
7688,blender,kitchen microwave,12,90,<
7689,trim window,hedge bush,46,70,">,<"
7690,beach,foot track,108,87,">,<"
7691,tennis ball,woman tennis player,79,578,<
7692,cafe table,cell phone,78,44,">,<"
7693,jean,sidewalk crack,85,31,>
7694,plane body,air front,128,30,>
7695,crosswalk,umbrella,165,30,>
7696,clock tower building,building window,627,27,>
7697,tshirt,person skateboard,64,63,">,<"
7698,part,roof building,6,203,<
7699,player pant,tee shirt,95,51,">,<"
7700,focus tree,boulder rock,194,56,>
7701,keyboard,mac book,113,128,">,<"
7702,magazine,curtain,20,107,<
7703,bunk,bunk bed,15,104,<
7704,mom giraffe,top,688,65,>
7705,kite string,sunglass,108,52,">,<"
7706,sheep fur,lamb,38,175,<
7707,strawberry cake,cake plate,74,78,">,<"
7708,wine,table top,94,97,">,<"
7709,set,steam train,50,90,">,<"
7710,chimney top,fire hydrant,32,92,<
7711,town car,advertising flag,174,18,>
7712,boat,fishing boat,742,1038,">,<"
7713,navel orange,fruit market,17,182,<
7714,tennis skirt,tennis hat,313,85,>
7715,freezer part,cake top,37,175,<
7716,suit jacket,hand,407,67,>
7717,snow outfit,teddy bear,18,101,<
7718,pizza sauce,pizza box,23,87,<
7719,tomato slice,fork,96,255,<
7720,breakfast plate,sugar,180,18,>
7721,chocolate cake,plate table,79,67,">,<"
7722,row window,nike shirt,64,152,<
7723,jean jacket,town car,51,82,">,<"
7724,university building,brick building,45,56,">,<"
7725,nike shirt,skateboarding shoe,1050,277,>
7726,tile,tile flooring,25,140,<
7727,shoe,hat,63,159,<
7728,street cone,pair,45,91,">,<"
7729,glass,table food,80,258,<
7730,sink edge,mirror reflection,28,73,<
7731,horse,bicycle,179,125,">,<"
7732,teddy bear,bear bottle,132,6,>
7733,player pant,nike shirt,151,121,">,<"
7734,ripple,life vest,24,131,<
7735,tennis racquet,tennis ball,1195,515,">,<"
7736,airport,air canada airplane,79,57,">,<"
7737,surfer hand,person skateboard,45,250,<
7738,baseball jersey,player number,83,25,>
7739,ski slope,ski hat,300,22,>
7740,phone number,blackberry phone,21,313,<
7741,river rock,duck,49,70,">,<"
7742,fir hydrant,bolt,172,2,>
7743,apple piece,apple stem,97,10,>
7744,bush tree,sheep grazing,93,24,>
7745,bush tree,apartment window,94,21,>
7746,street light,cop car,282,405,">,<"
7747,snowboarding pant,snowboard pant,54,47,">,<"
7748,tennis shirt,racket ball court,53,140,<
7749,horse riding helmet,chestnut horse,30,709,<
7750,ski glove,skier,14,143,<
7751,brick building,melting snow,51,55,">,<"
7752,house,street sign,277,158,">,<"
7753,batter hand,wii,22,132,<
7754,horse,sign,114,1,>
7755,onion,veggie pizza,16,308,<
7756,polo shirt,couch arm,84,33,>
7757,blackberry phone,cell phone,820,693,">,<"
7758,train front,train identification number,155,11,>
7759,room light,kitchen,7,121,<
7760,brick,metal pole,124,108,">,<"
7761,tower top,town car,90,101,">,<"
7762,shepherd dog,dog mouth,548,52,>
7763,landing gear,cargo plane,19,142,<
7764,branch,dirt,76,96,">,<"
7765,banana bunch,grape,203,74,>
7766,skateboarder,skating helmet,951,83,>
7767,control button,cat,4,101,<
7768,napkin,plate top,133,117,">,<"
7769,crystal glass,frisbee,48,187,<
7770,dog,blind,304,249,">,<"
7771,food bowl,finger food,32,100,<
7772,cop car,flag,73,50,">,<"
7773,lunch plate,chicken salad,181,49,>
7774,focus tree,person head,204,8,>
7775,rock,elephant eye,286,1,>
7776,storefront window,town car,151,780,<
7777,grass section,baseball glove,107,10,>
7778,skiing helmet,ski,117,665,<
7779,footprint,ski pole,92,69,">,<"
7780,edge,field front,25,112,<
7781,freezer part,bread bowl,14,186,<
7782,train car,windshield wiper,225,4,>
7783,skiing glove,ski cap,84,54,">,<"
7784,head,bear,409,1918,<
7785,citrus fruit,fruit box,92,106,">,<"
7786,pair,jersey,43,133,<
7787,pitcher throwing ball,dirt,111,224,">,<"
7788,broccoli dish,broccoli,542,161,>
7789,car headlight,town car,17,738,<
7790,horse head,paint horse,45,312,<
7791,pillow,baby shirt,109,61,">,<"
7792,building front,pillar,262,153,">,<"
7793,level bus,bus windshield,96,13,>
7794,horse tail,horse rider,34,168,<
7795,park bench,snow,140,94,">,<"
7796,elephant foot,elephant trunk,109,601,<
7797,lamp,living room window,150,656,<
7798,bunch banana,front,129,70,">,<"
7799,water plane,part,123,17,>
7800,ski slope,pine leaf,111,3,>
7801,front,office window,102,57,">,<"
7802,watermelon,fruit pile,16,109,<
7803,pizza top,sandwich bread,51,87,">,<"
7804,zebra leg,bush,53,314,<
7805,tv,stack,303,32,>
7806,building roof,bird,95,43,">,<"
7807,travel bag,luggage,94,159,">,<"
7808,butter knife,napkin,52,154,<
7809,vegetation,acacia tree,112,61,">,<"
7810,buildinga building,sign post,75,39,">,<"
7811,view mirror,fire hydrant,1,101,<
7812,bedside table lamp,bed pillow,112,265,<
7813,adult zebra,terrain,58,90,">,<"
7814,bathroom tile,bath tub,22,152,<
7815,food paper,ketchup,124,21,>
7816,ocean wave,wave crest,73,107,">,<"
7817,cat claw,tuxedo cat,4,107,<
7818,bus door,transit bus,49,404,<
7819,pant snowboarder,pant skier,97,43,">,<"
7820,day,elephant,86,21,>
7821,motorcycle wheel,car front,132,44,>
7822,tennis net,tennis outfit,162,49,>
7823,metal fence,wood,59,46,">,<"
7824,glass window,bush tree,14,446,<
7825,bedside table,head board,8,113,<
7826,water bear,fish,165,72,">,<"
7827,boot,metal bar,121,2,>
7828,ski top,snowboard jacket,133,158,">,<"
7829,dog,coconut tree,77,26,>
7830,whitecap wave,windsurfing sail,115,15,>
7831,brick building,umbrella,128,28,>
7832,field,herd animal,165,40,>
7833,food plate,sattelite dish,100,40,>
7834,ski,ski boot,1291,135,>
7835,metal rail,part,107,13,>
7836,truck front,truck light,158,37,>
7837,pine tree,snowboarder,229,324,">,<"
7838,tennis shirt,nike shirt,157,115,">,<"
7839,shadow,backpack,114,37,>
7840,syrup,sandwich plate,34,89,<
7841,dress hat,ear,106,8,>
7842,ski glass,skiing glove,51,67,">,<"
7843,building clock,ticket window,62,75,">,<"
7844,tennis racket,tennis visor,1584,164,>
7845,suit jacket,shirt button,600,20,>
7846,table cloth,group,44,105,<
7847,sink,tile,446,139,>
7848,snowboarder,snowboard,2701,1257,">,<"
7849,mom giraffe,grass path,80,23,>
7850,motorcycle tire,police motorcycle,19,606,<
7851,wave ripple,surfboard,509,1906,<
7852,kid,sweatshirt,139,62,">,<"
7853,skateboard,safety rail post,90,13,>
7854,bull horn,ear,83,17,>
7855,pile,pillow,199,98,">,<"
7856,air front,plane window,164,25,>
7857,t-shirt,watch,407,39,>
7858,train light,subway train,8,262,<
7859,skateboard,rock mountain,29,71,<
7860,ski top,part,174,25,>
7861,propeller airplane,leaf,144,1,>
7862,bathroom sink,sink edge,94,6,>
7863,blossom,flower,44,56,">,<"
7864,leaf,tree bark,80,84,">,<"
7865,giraffe skin,adult zebra,7,156,<
7866,zebra stripe,field front,49,268,<
7867,section,water body,23,152,<
7868,duck eye,camera,16,177,<
7869,ear,woman arm,2,128,<
7870,herd animal,ram,271,128,">,<"
7871,tie,dress shirt,729,2398,<
7872,book,hat,46,62,">,<"
7873,train boarding platform,decker train,71,86,">,<"
7874,horse,cart,144,69,">,<"
7875,bat batter,umpire mask,393,30,>
7876,mirror reflection,blind,32,88,<
7877,mouse cord,computer mouse,174,206,">,<"
7878,powder snow,snow pole,1226,296,>
7879,batter glove,part,74,88,">,<"
7880,baby,baby head,508,179,>
7881,raincoat,focus tree,47,137,<
7882,cow leg,grass field,23,211,<
7883,computer mouse,apple laptop,7,312,<
7884,farm building,farm animal,58,94,">,<"
7885,water body,bush branch,149,15,>
7886,office window,jacket,29,132,<
7887,jacket,bus windshield,14,95,<
7888,iron fence,town car,215,79,>
7889,steering wheel,car,86,104,">,<"
7890,paper umbrella,parasol,42,85,">,<"
7891,pedestrian,motorcycle,36,125,<
7892,adult zebra,weed,425,175,>
7893,road side,bike,212,282,">,<"
7894,umbrella,tree,332,322,">,<"
7895,frisbee,town car,96,64,">,<"
7896,powder snow,snowboard,8999,6859,">,<"
7897,place mat,spoon,77,23,>
7898,melting snow,water body,95,104,">,<"
7899,bacon,breakfast,2,111,<
7900,road side,block letter,121,10,>
7901,pole top,road side,36,88,<
7902,exhaust pipe,motorcycle,9,217,<
7903,building roof,market umbrella,36,86,<
7904,plane nose,sky plane,0,253,<
7905,collard shirt,library book,44,67,">,<"
7906,mac laptop,couch pillow,211,71,>
7907,counter top,cabinet,110,249,">,<"
7908,row window,street bus,11,90,<
7909,shift key,laptop,40,580,<
7910,train track side,amtrak train,66,229,<
7911,roof,kite,42,59,">,<"
7912,rock,fire hydrant,21,212,<
7913,game controller,sweatshirt,45,108,<
7914,collard shirt,ring,104,3,>
7915,picture frame,bed pillow,56,51,">,<"
7916,arm,water bear,47,120,<
7917,glass part,bathroom mirror,64,611,<
7918,water bird,duck beak,423,13,>
7919,apartment window,train track,2,147,<
7920,bus window,street pole,68,246,<
7921,bush tree,barrier pole,92,19,>
7922,car door,tree,24,80,<
7923,computer monitor,mousepad,294,4,>
7924,lizard kite,pair,149,4,>
7925,book,leather couch,7,163,<
7926,base ball hat,tennis player,3,106,<
7927,clock,room light,36,65,">,<"
7928,pillow,mirror reflection,214,115,">,<"
7929,letter,airport,0,158,<
7930,track fence,train,79,101,">,<"
7931,honda logo,honda motorcycle,0,311,<
7932,flower,flower petal,1021,123,>
7933,cat face,baby cat,49,80,">,<"
7934,tail section,wetsuit,77,67,">,<"
7935,beverage glass,part,166,18,>
7936,ski skier,ski jacket,116,34,>
7937,tennis shoe,group,34,338,<
7938,shirt,bottle,188,32,>
7939,traffic pole,shuttle bus,26,157,<
7940,toilet seat,bathroom cabinet,14,88,<
7941,mac computer,mac laptop,175,177,">,<"
7942,giraffe pattern,baby giraffe,30,74,<
7943,baseball cap,baseball mitt,47,105,">,<"
7944,tennis shirt,focus tree,181,397,">,<"
7945,wave crest,surfboard,731,187,>
7946,snow pant,backpack,69,61,">,<"
7947,carrot,avocado,20,81,<
7948,baby tree,sheep,161,245,">,<"
7949,dirt pile,sheep,112,166,">,<"
7950,navel orange,part,204,26,>
7951,base ball glove,baseball cap,59,41,">,<"
7952,dog,corn dog,54,193,<
7953,street light,street car,390,281,">,<"
7954,house cat,pair,438,235,">,<"
7955,apron,pancake,85,16,>
7956,computer keyboard,apple mouse,445,28,>
7957,stop sign,fire hydrant,519,277,">,<"
7958,bush tree,police patrol motorcycle,50,77,">,<"
7959,center,dozen donut,23,271,<
7960,tree branch,group,125,372,<
7961,block building,building front,127,27,>
7962,nike shirt,nike hat,637,177,>
7963,mirror,ceiling,45,59,">,<"
7964,base ball field,baseball bat,235,35,>
7965,toilet sink,toilet lid,154,87,">,<"
7966,cow,rock,744,267,>
7967,candle,cake,17,294,<
7968,sign letter,patch,30,117,<
7969,pair,guy foot,126,85,">,<"
7970,bus,backpack,362,161,">,<"
7971,curbside,gala apple,83,56,">,<"
7972,graffiti,jean,271,252,">,<"
7973,carpet,cat ear,106,16,>
7974,wine bottle,sausage pizza,11,128,<
7975,delta airplane,landing wheel,1626,29,>
7976,train station building,street sign,180,23,>
7977,tower top,ben clock tower,71,769,<
7978,polo shirt,rubber shoe,113,24,>
7979,face,group,6,163,<
7980,focus tree,rise apartment building,143,155,">,<"
7981,road side,door car,157,215,">,<"
7982,baseball game,batter helmet,621,46,>
7983,skateboarder,kid shirt,174,62,>
7984,brush head,bush,50,128,<
7985,stop sign,bike lane sign,124,93,">,<"
7986,focus tree,traffic light sign,386,45,>
7987,grizzly bear,snout,865,63,>
7988,motorcycle helmet,motorcycle rider,13,190,<
7989,town car,neon sign,123,51,>
7990,ski mountain,mountain rock,149,31,>
7991,cow,terrain,53,61,">,<"
7992,bedside lamp,pillow,813,2097,<
7993,police car,tail light,105,8,>
7994,bay horse,baby horse,51,196,<
7995,palm tree,cement stone,69,35,">,<"
7996,button eye,chair bear,0,455,<
7997,fish kite,hat,143,26,>
7998,cherry wood,area carpet,75,52,">,<"
7999,shoe,coat,10,160,<
8000,door car,hedge bush,49,57,">,<"
8001,paint,dirt,63,101,">,<"
8002,sea bird,bird belly,149,7,>
8003,tree,lizard kite,168,222,">,<"
8004,ring,mac laptop,3,212,<
8005,banana,food plate,7,109,<
8006,giraffe spot,wood fence,11,90,<
8007,tennis racket,hand side,183,104,">,<"
8008,market umbrella,crowd,86,620,<
8009,giraffe leg,fence,80,391,<
8010,brow tree,traffic signal light,87,18,>
8011,bus mirror,shade tree,44,126,<
8012,cat eye,cat body,2,315,<
8013,surfboard,wave cap,320,364,">,<"
8014,airport truck,street light,90,41,">,<"
8015,farm animal,tree,109,147,">,<"
8016,toothbrush bristle,toothbrush,76,1767,<
8017,snowboard pant,powder snow,677,1881,<
8018,swim shirt,sandal,94,19,>
8019,building front,winter tree,21,96,<
8020,skate park,focus tree,160,48,>
8021,passenger plane,airport window,137,6,>
8022,pen,desk,18,314,<
8023,car,transportation vehicle,48,92,">,<"
8024,front,bunch banana,70,129,">,<"
8025,barrier pole,road side,34,115,<
8026,train window,transit train,50,469,<
8027,herd,grass patch,441,39,>
8028,skateboarding sneaker,skateboarder arm,34,109,<
8029,twig,baby elephant,19,90,<
8030,ski pant,person head,123,2,>
8031,group,rainbow,70,32,">,<"
8032,part,soda cup,33,107,<
8033,park fence,nike shirt,119,39,>
8034,part,bullet train,3,114,<
8035,pine leaf,bear,108,600,<
8036,traffic light,glass part,438,111,>
8037,metal fence,sunglass,184,18,>
8038,steak,dinner plate,9,116,<
8039,mustard,pizza top,34,85,<
8040,chain link fence,weed,108,17,>
8041,base ball hat,baseball player number,105,100,">,<"
8042,ski pole,ski board,63,110,">,<"
8043,pajama top,blanket,60,68,">,<"
8044,part,charter plane,5,287,<
8045,tennis court surface,tennis shirt,162,59,>
8046,building front,marble brick,78,33,>
8047,elephant,horseshoe,145,12,>
8048,trolley bus,bus number,117,5,>
8049,passenger bridge,tree,77,47,">,<"
8050,bathroom mirror,flower,104,12,>
8051,surfer arm,ocean beach,22,262,<
8052,stoplight,town car,168,443,<
8053,glass coffee table,vase flower,152,26,>
8054,snow outfit,office window,127,0,>
8055,sink,sink faucet,177,13,>
8056,bird,rooftop,114,112,">,<"
8057,shirt,key,100,4,>
8058,switch,living room door,0,106,<
8059,car front,leaf,106,26,>
8060,leaf,adult cat,13,133,<
8061,bush tree,police helmet,128,8,>
