,o1,o2,>,<,typical
3848,engine part,rail train,21,89,<
3849,train head light,decker train,23,410,<
3850,skateboard trick,shirt,151,0,>
3851,desk top,pen,115,14,>
3852,soccer player,soccer shoe,1004,32,>
3853,mountain,water surface,90,25,>
3854,jersey shirt,soccer sock,153,26,>
3855,commuter train,platform sign,116,3,>
3856,kid,surf shirt,97,11,>
3857,city bench,jacket,123,22,>
3858,elephant trunk,ground elephant,213,1360,<
3859,towel,toilet tissue,126,20,>
3860,skier,ski glove,143,14,>
3861,ski cap,pair,72,240,<
3862,person skateboard,skating helmet,531,114,>
3863,rock,water ripple,28,86,<
3864,pizza crust,rectangle pizza,26,178,<
3865,signal post,rail train,29,284,<
3866,pizza box,pizza piece,105,1,>
3867,dress shirt,eye,130,0,>
3868,car window,bush,30,90,<
3869,book,baby doll,10,152,<
3870,lizard kite,surf shirt,230,26,>
3871,shade tree,bench leg,146,7,>
3872,pickup truck,whitewall tire,123,11,>
3873,police patrol motorcycle,bike wheel,110,12,>
3874,dinner plate,salad plate,28,159,<
3875,frisbee,ball field,93,413,<
3876,mac keyboard,mouse,118,5,>
3877,suit,group,149,376,<
3878,polythene paper,poster,29,79,<
3879,tomato,fruit,38,199,<
3880,egg,glass,273,92,>
3881,sausage pizza,crust edge,519,29,>
3882,airline plane,plane wing,131,37,>
3883,wood kitchen table,sausage pizza,120,326,<
3884,skate park,part,178,7,>
3885,baseball bat,cap,176,36,>
3886,strawberry,dessert plate,26,198,<
3887,reflection,dish food,14,148,<
3888,metal fence,block letter,137,1,>
3889,farm animal,goat horn,107,2,>
3890,sweater,stripe,132,19,>
3891,crust edge,fruit bowl,2,133,<
3892,skiing glove,ski track,32,310,<
3893,baseball,league baseball logo,116,11,>
3894,bench,life jacket,126,25,>
3895,traffic light,office building,10,194,<
3896,bike,street clock,5,114,<
3897,apartment window,bush,41,384,<
3898,cheese bread,onion,124,14,>
3899,plane wing,cockpit,146,18,>
3900,stop sign,metal pole,1452,446,>
3901,dog,frisbee disc,177,20,>
3902,truck headlight,panel truck,21,394,<
3903,motor cycle helmet,motorcycle tire,151,620,<
3904,water body,swim shirt,440,46,>
3905,stream,grizzly bear,102,25,>
3906,car headlight,fire hydrant,0,157,<
3907,airplane wing,airplane,117,673,<
3908,pair,chestnut horse,60,151,<
3909,rock,pond,17,176,<
3910,window curtain,part,122,5,>
3911,wine bottle,cork,287,5,>
3912,town car,car tire,1720,32,>
3913,parking meter,sidewalk tile,103,23,>
3914,suitcase handle,train stack,3,153,<
3915,fire hydrant,screw,165,3,>
3916,lemon tree,navel orange,299,66,>
3917,pepper,bunch,23,153,<
3918,clock building,flag,165,23,>
3919,rectangle window,ticket window,107,39,>
3920,race number,dirt bike,0,203,<
3921,airport window,passenger airplane,10,111,<
3922,metal pole,group,106,295,<
3923,herd animal,animal head,180,28,>
3924,hoodie,glass,142,35,>
3925,batter glove,baseball field,14,383,<
3926,railing,skateboard wheel,113,3,>
3927,adult zebra,stone,562,74,>
3928,jet engine,delta airline plane,16,278,<
3929,tennis spectator,tennis shoe,427,80,>
3930,windshield wiper,bus,29,526,<
3931,brick part,building clock,33,119,<
3932,surfboard,swim trunk,1023,260,>
3933,double-decker bus,passenger bus window,915,10,>
3934,paw,toy animal,6,118,<
3935,hand,front,93,284,<
3936,windshield wiper,transit bus,19,126,<
3937,soccer uniform,ball,268,53,>
3938,fall tree,orange,108,42,>
3939,chrome exhaust pipe,motorcycle,42,207,<
3940,bike lane sign,part,129,23,>
3941,rail train,platform edge,220,36,>
3942,spoon,cake,19,141,<
3943,cow head,cow body,14,94,<
3944,street pole,row window,218,65,>
3945,cat fur,cat body,12,115,<
3946,shoelace,skate board,5,118,<
3947,dairy cow,bush,91,23,>
3948,food plate,cheese sauce,100,25,>
3949,ear,lab dog,30,599,<
3950,giraffe head,forest,6,117,<
3951,olive,pepperoni pizza,40,205,<
3952,toilet tank,bathroom window,36,120,<
3953,trim window,house roof,0,129,<
3954,tank car,fire hydrant,25,81,<
3955,city building,glass window,145,9,>
3956,league baseball player,baseball sock,156,39,>
3957,water boat,surfboard,14,87,<
3958,steam engine train,rail,114,34,>
3959,clock frame,clock face number,337,15,>
3960,taxi car,traffic,20,110,<
3961,bicycle,police helmet,94,6,>
3962,wicker basket,flower,78,23,>
3963,license plate,bus wheel,6,209,<
3964,tree trunk,bus window,194,45,>
3965,t-shirt,metal fence,33,148,<
3966,part,apartment building,9,232,<
3967,soccer shirt,soccer sock,1207,266,>
3968,bag,subway train,18,164,<
3969,brick,snowboard,6,124,<
3970,tuna sandwich,rye bread,86,23,>
3971,couch pillow,bulldog,70,188,<
3972,office window,street sign,65,402,<
3973,brow tree,glass bus window,131,10,>
3974,food plate,bread plate,205,85,>
3975,library book,lamp,64,169,<
3976,livestock,cow,123,28,>
3977,part,end table,34,123,<
3978,street clock,awning,87,21,>
3979,sheep,paint,277,21,>
3980,conifer tree,ski mountain,124,546,<
3981,tree trunk,tennis,21,98,<
3982,cabinet door,toilet paper roll,103,1,>
3983,ripple,retriever dog,18,155,<
3984,parking meter,front,101,27,>
3985,mouse button,apple computer mouse,1,133,<
3986,pair,stripe,480,196,>
3987,banana tree leaf,elephant,28,154,<
3988,towel,marble,25,103,<
3989,mountain,backpack,196,35,>
3990,safety glass,work shirt,34,140,<
3991,pizza sauce,basil leaf,75,30,>
3992,cat,cat bowl,97,28,>
3993,bus side,trolley bus,15,105,<
3994,row house,dormer window,190,3,>
3995,length mirror,hotel room bed,32,176,<
3996,horse grazing,horse tail,171,4,>
3997,banana bunch,banana stem,663,68,>
3998,flower petal,bud vase,8,319,<
3999,bus window,deck passenger bus,22,363,<
4000,spot,surfboard,9,210,<
4001,coat skiing,skiing glove,104,3,>
4002,tree,storefront window,96,9,>
4003,chain link fence,box car,124,17,>
4004,ski slope,part,206,0,>
4005,bay horse,letter,106,0,>
4006,onion,mushroom pizza,18,135,<
4007,tuxedo cat,cat reflection,412,133,>
4008,glass flower vase,petal,168,14,>
4009,pickup truck,dog,172,61,>
4010,tree branch,bush tree,283,725,<
4011,lettuce,sub sandwich,0,106,<
4012,elephant,post,481,83,>
4013,gravel,engine train,111,413,<
4014,zebra,stone,304,78,>
4015,door reflection,bathroom toilet,23,82,<
4016,spot,elephant,16,280,<
4017,ear,banana bunch,10,114,<
4018,sign letter,signboard,34,405,<
4019,street bench,persons foot,116,3,>
4020,home plate base,umpire uniform,10,125,<
4021,chair cat,ear piece,187,25,>
4022,jean,mom giraffe,22,81,<
4023,ear,landline phone,2,138,<
4024,fruit pile,food,16,107,<
4025,focus tree,person head,204,8,>
4026,pizza sauce,pizza box,23,87,<
4027,street sign,stone building,16,129,<
4028,amtrak train,part,629,14,>
4029,umbrella,sunglass,519,112,>
4030,grass patch,batter helmet,114,30,>
4031,skateboarding,knee pad,132,3,>
4032,apartment window,hotel building,7,476,<
4033,road side,part,979,148,>
4034,condiment bowl,spoon,87,31,>
4035,bulldog,dog face,188,51,>
4036,street bench,bench slat,162,33,>
4037,dog,frisbee,5876,1373,>
4038,tennis racket,tennis uniform,85,247,<
4039,nike sign,skateboard,33,280,<
4040,computer monitor,apple keyboard,134,32,>
4041,glass cake plate,basil leaf,117,3,>
4042,object,grass field,12,95,<
4043,broccoli,crust edge,415,55,>
4044,hedge,bush tree,282,69,>
4045,hat,sweater,59,281,<
4046,apple,freezer part,473,37,>
4047,shoe,briefcase,14,91,<
4048,cat,window sill,104,27,>
4049,fry plate,rim glass,200,47,>
4050,teddy,button eye,186,4,>
4051,sunglass,conifer tree,17,117,<
4052,nike shirt,skateboarding helmet,243,39,>
4053,mama elephant,sandal,101,0,>
4054,sausage pizza,table cloth,163,66,>
4055,scarf,hazel eye,156,10,>
4056,ski coat,sunglass,237,54,>
4057,car front,fire hydrant,51,171,<
4058,surfer riding wave,surfer hand,1173,11,>
4059,vegetable,onion,236,69,>
4060,pear,apple stem,173,1,>
4061,rubber shoe,sweater,25,86,<
4062,part,wetsuit,84,714,<
4063,shuttle bus,street light,327,45,>
4064,amtrak train,boulder rock,103,24,>
4065,street number,building front,25,141,<
4066,rain umbrella,suv,90,21,>
4067,building front,brick building,202,1074,<
4068,pair,headband,118,41,>
4069,skateboard,guy hand,362,49,>
4070,brick building,block letter,108,6,>
4071,calico cat,bag,84,33,>
4072,soap dispenser,mirror,4,118,<
4073,bud,bird,7,223,<
4074,sausage pizza,candle,125,4,>
4075,mac laptop,cloth,111,12,>
4076,stripe,outfield fence,12,99,<
4077,pillow,door knob,144,0,>
4078,arm,finger,90,15,>
4079,baby elephant,elephant mouth,445,3,>
4080,bay horse,horse riding helmet,1949,144,>
4081,chestnut horse,sponsor sign,99,16,>
4082,chestnut horse,horse neck,156,25,>
4083,tree giraffe,giraffe mouth,163,1,>
4084,motorcycle wheel,police helmet,118,12,>
4085,plumbing pipe,toilet lid,23,81,<
4086,computer mouse,poster,0,116,<
4087,pizza,fork,707,96,>
4088,sandwich plate,coffe cup,96,25,>
4089,ski glove,ski pant,35,312,<
4090,sheep dog,tow rope,207,27,>
4091,puppy,animal ear,142,12,>
4092,pant,train track,13,249,<
4093,toilet top,toilet paper roll,117,22,>
4094,burn spot,frisbee,17,111,<
4095,fork,guy,16,91,<
4096,pant skier,snow goggle,152,0,>
4097,coast guard boat,waterfront,159,5,>
4098,stripe,board surfer,9,198,<
4099,kitchen cabinet,kitchen cabinet door,144,19,>
4100,giraffe,camouflage shirt,173,9,>
4101,fishing boat,cargo car,111,3,>
4102,post fence,pine tree,30,119,<
4103,toilet tank,bathroom door,15,101,<
4104,airline jet,landing wheel,133,0,>
4105,brick chimney,shade tree,10,117,<
4106,glass part,spinach pizza,4,122,<
4107,freezer part,kitchen window,19,171,<
4108,part,railroad traffic light,25,79,<
4109,metal hand,skateboard,48,279,<
4110,telephone,headboard,0,157,<
4111,buildinga building,mcdonalds sign,94,12,>
4112,cabinet door,door fridge,16,227,<
4113,toilet,metal bar,202,40,>
4114,dirt bike,dirt bike rider,137,54,>
4115,metal suitcase,metal latch,100,1,>
4116,group,ski flag,270,29,>
4117,face,animal ear,193,13,>
4118,dress suit,cell phone,123,23,>
4119,spruce tree,ski hat,767,106,>
4120,cow grazing,cow head,111,5,>
4121,car brake light,tree,6,117,<
4122,vest,horse,32,271,<
4123,step,cow,0,171,<
4124,rug,couch pillow,218,34,>
4125,pencil,scissors,26,206,<
4126,chrome motorcycle,motorcycle handle,103,7,>
4127,lunch meal,carrot,107,1,>
4128,giraffe spot,zebra mane,20,82,<
4129,snow suit,ski pant,105,26,>
4130,flower,hill,26,123,<
4131,polythene paper,cat,29,77,<
4132,souffle cup,pizza plate,39,213,<
4133,tomato,food tray,27,117,<
4134,tower window,clock face number,126,28,>
4135,bottle,mac laptop,9,235,<
4136,orange,traffic arrow,92,29,>
4137,trolley,glass window,157,0,>
4138,toothbrush,sink edge,110,25,>
4139,pair,elephant tusk,81,29,>
4140,car tire,parking meter,31,175,<
4141,building front,casement window,170,56,>
4142,windshield wiper,train station building,10,142,<
4143,luggage car,car top,89,19,>
4144,batter glove,outfield fence,8,262,<
4145,pupil,house cat,0,194,<
4146,laptop,computer speaker,95,26,>
4147,clock face,brow tree,18,84,<
4148,town car,bike helmet,128,20,>
4149,paper towel roll,kitchen sink,6,136,<
4150,iron leaf,fall tree,61,263,<
4151,eyeglass,dress,17,123,<
4152,wool sheep,fence,129,41,>
4153,glass base,wine glass,49,711,<
4154,pant kid,shoe,127,3,>
4155,sattelite dish,sandwich plate,67,183,<
4156,navel orange,dozen egg,90,28,>
4157,pair,lizard kite,4,149,<
4158,water body,wave top,99,19,>
4159,umbrella pole,market umbrella,123,633,<
4160,shirt button,dress suit,11,506,<
4161,bay horse,water edge,169,10,>
4162,hat,street bench,31,325,<
4163,focus tree,building roof,130,32,>
4164,person finger,glass,4,158,<
4165,brick part,clock tower building,3,105,<
4166,room light,couch,59,712,<
4167,plane engine,delta airplane,69,1860,<
4168,pizza top,shirt,45,135,<
4169,tennis,asphalt tennis court,309,122,>
4170,iron bench,flower,142,1,>
4171,pair,newspaper,57,134,<
4172,tile,wastepaper basket,100,30,>
4173,bumper sticker,town car,12,115,<
4174,porcelain pedestal sink,toilet paper,111,4,>
4175,leaf,row window,90,20,>
4176,sausage piece,chili cheese dog,121,424,<
4177,leather couch,stereo speaker,113,2,>
4178,batter shirt,person head,97,9,>
4179,pant,eye glass,100,9,>
4180,stripe neck tie,suit shirt,37,97,<
4181,kitchen stove,cabinet door,206,67,>
4182,entrance,part,92,28,>
4183,tail section,ocean wave,149,41,>
4184,bunch banana,banana plant,259,670,<
4185,pizza plate,plate,118,39,>
4186,sofa,house cat,127,40,>
4187,pant,shade tree,75,469,<
4188,pair,coat,37,166,<
4189,sofa,mirror,126,27,>
4190,olive,pizza pie,12,116,<
4191,winter tree,street light,184,34,>
4192,polo shirt,mountain,9,92,<
4193,willow tree,passenger train window,102,1,>
4194,traffic light,freight train,1,147,<
4195,stone,quilt,0,112,<
4196,thumb,bunch banana,0,121,<
4197,coffe cup,laptop,15,136,<
4198,street sign,dog,78,237,<
4199,toy bear,fur,76,29,>
4200,bowl food,chicken,89,17,>
4201,hotel room bed,picture frame,140,7,>
4202,delta plane,landing gear,335,21,>
4203,glass part,metal hand,19,88,<
4204,animal leg,sheep,30,107,<
4205,group,round table,107,12,>
4206,tablecloth,tomato,150,58,>
4207,car,skate board,25,78,<
4208,racket,person hand,136,7,>
4209,baseball helmet,baseball batter,14,134,<
4210,skateboard shoe,jean,10,121,<
4211,oxford shirt,wine glass,160,36,>
4212,part,shore,11,101,<
4213,glass bus window,double-decker bus,80,1960,<
4214,basil leaf,carrot,55,131,<
4215,pizza box,pizza crust,391,41,>
4216,herd,mama elephant,124,6,>
4217,mom giraffe,giraffe neck,5709,813,>
4218,pizza slice,mushroom,225,25,>
4219,apple piece,collard shirt,8,99,<
4220,top,wood,58,136,<
4221,sandal,shade tree,10,120,<
4222,jeep,glass window,113,0,>
4223,banana,fruit sticker,551,12,>
4224,post fence,part,122,16,>
4225,building window,street sign pole,27,342,<
4226,shadow,wristband,157,11,>
4227,mom giraffe,bottom,316,36,>
4228,ben clock tower,clock hand,123,2,>
4229,motorcycle police officer,police helmet,187,24,>
4230,brick building,cell phone,91,32,>
4231,car window,dog eye,184,3,>
4232,barrier pole,delta airplane,43,252,<
4233,lifeguard,beach umbrella,20,85,<
4234,window,shift key,97,10,>
4235,oak tree,boulder rock,28,77,<
4236,street bench,fall leaf,88,14,>
4237,bird neck,water bird,68,1042,<
4238,flower,flower vase,329,1135,<
4239,race horse,pant,177,11,>
4240,jelly donut,doughnut hole,368,31,>
4241,body part,couch,2,103,<
4242,motorcycle helmet,police motorcycle,20,409,<
4243,cat paw,pair,13,129,<
4244,tennis player,tennis,1499,4491,<
4245,sock,eyeglass,35,89,<
4246,transit train,train headlight,268,7,>
4247,water bottle,group,21,323,<
4248,pizza slice,crust pizza,53,223,<
4249,closet door,switch,129,0,>
4250,traffic light post,traffic signal,77,33,>
4251,skateboard,rock mountain,29,71,<
4252,brick apartment building,street sign,283,41,>
4253,bike,double-decker bus,20,91,<
4254,hand,cat,130,366,<
4255,orange,cat leg,105,4,>
4256,spoon,dessert plate,13,188,<
4257,pizza top,cheese pizza slice,28,85,<
4258,sky kite,streamer,99,32,>
4259,cherry wood,picture frame,116,39,>
4260,work shirt,cake,125,41,>
4261,surfboard riding wave,water surfer,563,234,>
4262,tail fin,jet engine,111,29,>
4263,girl riding horse,plaid shirt,396,44,>
4264,forest,sunglass,104,6,>
4265,pant,coca cola umbrella,10,102,<
4266,ski flag,snow fence,21,110,<
4267,shirt collar,tie,133,336,<
4268,fence,shirt,166,60,>
4269,city clock,tower window,461,128,>
4270,crystal glass,baby,43,144,<
4271,market umbrella,orange,293,102,>
4272,house cat,glass part,894,109,>
4273,necklace,flip cellphone,32,90,<
4274,ibm logo,mac keyboard,0,107,<
4275,kitchen table,mushroom pizza,35,89,<
4276,building roof,giraffe,69,223,<
4277,necklace,collard shirt,27,389,<
4278,street lamp,train track,11,113,<
4279,pitcher,fork,51,126,<
4280,freight train,coal car,198,24,>
4281,iron leaf,stone building,13,93,<
4282,umbrella,brick building,28,128,<
4283,person hand,water body,0,173,<
4284,pickup truck,truck front,291,104,>
4285,part,polka dot tie,9,92,<
4286,sign arrow,bike lane sign,10,116,<
4287,soda,pizza,23,113,<
4288,heel,pair,18,107,<
4289,board surfer,surfing board,171,20,>
4290,noodle,freezer part,104,17,>
4291,toilet roll holder,toilet,6,180,<
4292,baseball game,home plate,445,8,>
4293,bat batter,baseball shoe,1264,89,>
4294,building window,airport building,13,155,<
4295,tree,pole top,340,110,>
4296,part,metal bench,15,144,<
4297,gala apple,fruit sticker,488,3,>
4298,wristband,tennis spectator,25,214,<
4299,cupcake wrapper,cupcake,12,101,<
4300,water bird,duck head,234,14,>
4301,napkin,metal fork,156,36,>
4302,street sign,horse,1,179,<
4303,car,wood park bench,4,148,<
4304,tie,carpet,15,85,<
4305,tower top,brick tower,2,163,<
4306,tennis shirt,tennis player head,645,50,>
4307,mac laptop,usb port,123,4,>
4308,skateboarding park,frisbee,131,2,>
4309,baseball player,hat,205,17,>
4310,tennis shirt,cone,130,3,>
4311,ski,mountain,32,102,<
4312,town car,street scene,0,117,<
4313,missile,fighter plane,7,130,<
4314,skateboard,platform light,104,19,>
4315,club sandwich,teaspoon,103,5,>
4316,clock minute hand,clock face number,301,56,>
4317,hospital bed,body pillow,216,16,>
4318,soda bottle,pizza,18,100,<
4319,horse,grass bunch,46,140,<
4320,glass train window,rail train,119,1989,<
4321,flower,shepherd dog,21,213,<
4322,street direction sign,sign arrow,212,19,>
4323,transit bus,bus headlight,299,8,>
4324,teddy bear,room light,85,24,>
4325,lunch meat,plate food,27,234,<
4326,glass window,front,21,262,<
4327,cheese slice,sausage pizza,0,126,<
4328,decker bus,union jack flag,124,8,>
4329,computer part,computer keyboard,62,271,<
4330,maple leaf,dog,31,120,<
4331,freezer part,soup spoon,15,114,<
4332,elephant eye,elephant skin,28,388,<
4333,platform number,train front,15,380,<
4334,train door,train headlight,109,16,>
4335,broccoli,steak,45,241,<
4336,shower curtain,tile,881,125,>
4337,pizza plate,letter,127,1,>
4338,hotel building,beach umbrella,94,10,>
4339,cabinet,shirt,37,92,<
4340,toilet,sink top,196,23,>
4341,tennis player,tennis court,2267,5778,<
4342,tower clock,shade tree,11,96,<
4343,snowboarding helmet,snowboarder,15,208,<
4344,wood bed,bed blanket,193,28,>
4345,grass playing field,flower,147,14,>
4346,lizard kite,ribbon,143,30,>
4347,baby bird,branch leaf,245,38,>
4348,soup bowl,glass,241,53,>
4349,wine,bottle label,93,25,>
4350,area rug,blanket,101,18,>
4351,clock tower,parliament building,99,284,<
4352,sun umbrella,umbrella hat,146,15,>
4353,cactus,rain umbrella,80,235,<
4354,train engine headlight,passenger train window,39,107,<
4355,part,model train,8,100,<
4356,van window,panel truck,3,124,<
4357,cat belly,chair cat,17,101,<
4358,onion,sandwich bread,46,131,<
4359,skyscraper,tower top,116,19,>
4360,chocolate,cafeteria tray,48,194,<
4361,spinach leaf,spinach,26,94,<
4362,pasta noodle,pasta,40,100,<
4363,crust edge,lettuce,19,84,<
4364,banner,group,24,134,<
4365,sunglass,rainbow,8,100,<
4366,rock bird,rock mountain,33,82,<
4367,jean,teddy bear,37,98,<
4368,house plant,wood coffee table,17,118,<
4369,pillow,amber eye,100,6,>
4370,jet engine,plane body,3,134,<
4371,building front,starbuck sign,147,19,>
4372,beach,umbrella pole,134,22,>
4373,ski coat,snow ski,51,121,<
4374,sunglass,pant,195,687,<
4375,train passenger,speed train,33,86,<
4376,headboard,night stand,204,22,>
4377,sheep,hat,409,64,>
4378,stack,shirt,108,332,<
4379,branch,branch bird,67,175,<
4380,glass part,pottery vase,17,194,<
4381,dog,maple leaf,120,31,>
4382,sugar donut,bread bowl,25,85,<
4383,food,pizza crust,96,17,>
4384,computer wire,computer table,30,119,<
4385,palm tree,giraffe neck,144,37,>
4386,brick apartment building,triangle street sign,109,6,>
4387,skiing glove,kid,25,223,<
4388,car front,car window,142,53,>
4389,flatscreen television,switch,135,1,>
4390,town car,university building,17,144,<
4391,decker bus,bus window,2672,31,>
4392,shuttle bus,bus light,294,17,>
4393,boat,boat number,107,21,>
4394,snowboarding pant,part,238,29,>
4395,skateboard,building roof,78,33,>
4396,baby elephant tail,adult elephant,23,250,<
4397,house cat,body part,166,29,>
4398,street edge,triangle street sign,9,105,<
4399,baby,lunch plate,29,72,<
4400,umbrella top,umbrella,59,401,<
4401,group,cow,2964,1039,>
4402,polo shirt,eyebrow,130,7,>
4403,hand,sweatshirt,84,334,<
4404,grass elephant,field,119,378,<
4405,coffee cup,cake top,86,20,>
4406,horse tail,dirt,41,164,<
4407,delta airplane,runway light,389,26,>
4408,sponsor sign,tennis ball,139,38,>
4409,horse tail,grass patch,26,114,<
4410,sign letter,signpost,33,247,<
4411,door fridge,water bottle,112,4,>
4412,box fan,chair cat,16,85,<
4413,family,mom giraffe,121,12,>
4414,passenger bus window,decker bus,13,901,<
4415,motorcycle,tennis shoe,139,12,>
4416,downtown building,traffic light sign,109,10,>
4417,toilet side,toilet,104,446,<
4418,sattelite dish,freezer part,137,24,>
4419,crowd,block letter,104,6,>
4420,part,truck front,62,280,<
4421,pizza top,spinach pizza,85,957,<
4422,dog,surfer hand,111,42,>
4423,part,tree,330,2862,<
4424,town car,hat,99,28,>
4425,tan,part,666,80,>
4426,street sign,chain link fence,48,151,<
4427,batter helmet,helmet kid,40,182,<
4428,book,house cat,93,324,<
4429,bell,brick,21,119,<
4430,city transit bus,advertising flag,155,8,>
4431,glass,menu,48,120,<
4432,baseball cap,baseball field,8,441,<
4433,mom elephant,bottom,100,0,>
4434,person hand,food plate,28,96,<
4435,marking,cow,21,138,<
4436,dirt pile,elephant,33,183,<
4437,chair cat,house plant,168,69,>
4438,surfer hand,board surfer,46,1482,<
4439,part,dress shirt,59,597,<
4440,stone,pillow,29,116,<
4441,keyboard key,number key,14,98,<
4442,freight train,bottom,98,23,>
4443,sneaker,pant guy,6,128,<
4444,mom giraffe,leaf,2466,380,>
4445,baby carrot,lunch meat,56,192,<
4446,melting snow,street light,100,24,>
4447,horse leg,pasture field,17,161,<
4448,toilet handle,bathroom mirror,4,129,<
4449,skateboard guy,skate board wheel,481,13,>
4450,office window,bicycle,11,190,<
4451,shade tree,sheep head,182,3,>
4452,fire hydrant,flip flop,96,7,>
4453,dog,cat collar,182,10,>
4454,paisley tie,dress shirt,57,241,<
4455,stove,kitchen towel,102,12,>
4456,pole top,road side,36,88,<
4457,cyclist,helmet,134,9,>
4458,bus sign,metro bus,13,150,<
4459,sheep,house,43,104,<
4460,computer screen,mouse button,118,1,>
4461,baby,baby elephant trunk,96,9,>
4462,airplane tail,delta plane,71,232,<
4463,lettering,mac laptop,2,100,<
4464,pair,snow mountain,18,155,<
4465,bus tire,banana bus,1,139,<
4466,bird head,bird eye,623,17,>
4467,road side,lane sign,84,20,>
4468,dish food,bottom,97,15,>
4469,ski helmet,ski,108,1150,<
4470,shirt button,umpire helmet,0,101,<
4471,house plant,hotel bed,3,103,<
4472,tattoo,skateboarder,6,165,<
4473,locomotive train,train side,141,15,>
4474,adult elephant,elephant foot,397,28,>
4475,salad bowl,carrot,473,66,>
4476,sink top,restroom sink,25,80,<
4477,perimeter fence,sheep,91,35,>
4478,jet wing,navy jet,13,661,<
4479,train window,track train,7,171,<
4480,elephant,paint,137,39,>
4481,apple computer logo,apple laptop,0,116,<
4482,fork,food bowl,36,86,<
4483,bus sign,bus windshield,25,457,<
4484,building side,brick building,23,195,<
4485,shirt,face,304,99,>
4486,pair,cross country skiing,7,126,<
4487,flower,wood,130,613,<
4488,part,club sandwich,5,123,<
4489,chain,hydrant,17,348,<
4490,train,train side,234,66,>
4491,passenger train window,train engine,26,1161,<
4492,tennis racket,crowd,100,333,<
4493,tub edge,dog,38,119,<
4494,mug handle,coffee cup,16,256,<
4495,coach bus,bus tire,358,8,>
4496,cuckoo clock,grandfather clock,94,24,>
4497,bottom,toilet lid,29,148,<
4498,winter jacket,horse,25,80,<
4499,knife blade,bread knife,26,208,<
4500,paint,glass part,76,32,>
4501,tree bush,leaf,78,33,>
4502,park bench,nike shirt,90,31,>
4503,bike,leather bike seat,92,8,>
4504,dress shirt,belt,390,32,>
4505,wheat toast,egg,138,31,>
4506,landing wheel,charter plane,14,316,<
4507,traffic sign,mountain,18,85,<
4508,decker bus,bus tire,1157,3,>
4509,couch,bowling shoe,123,2,>
4510,plenty fruit,fruit slice,115,32,>
4511,toothbrush,shirt,96,346,<
4512,bed pillow,rug,10,115,<
4513,shade tree,block letter,206,8,>
4514,clock face,pocket watch,19,84,<
4515,cargo door,delta airplane,8,168,<
4516,crust edge,banana,29,278,<
4517,patch,wood,18,121,<
4518,palm tree,palm leaf,460,40,>
4519,horse tail,part,223,81,>
4520,cat neck,cat,45,160,<
4521,baby bird,house cat,46,258,<
4522,sheep head,farm animal,11,251,<
4523,iron leaf,row window,207,55,>
4524,couch,room door,185,64,>
4525,teddy bear,elephant leg,96,15,>
4526,traffic arrow,apartment window,133,34,>
4527,controll button,thumb,22,220,<
4528,child eye,toothbrush,1,100,<
4529,league baseball player,belt,299,20,>
4530,tennis shoe,clay court,36,640,<
4531,train front,metal train track,150,495,<
4532,person skateboard,shoe,104,27,>
4533,living room door,lamp,254,57,>
4534,home plate umpire,home plate,2121,182,>
4535,baby elephant tail,elephant leg,64,157,<
4536,shift key,apple monitor,3,149,<
4537,curtain,night stand,89,21,>
4538,bowl food,lunch meat,150,30,>
4539,sink handle,toilet,2,257,<
4540,bread,tea glass,125,27,>
4541,tip,powder snow,7,190,<
4542,boat window,cruise boat,9,176,<
4543,baseball player,tiger stripe,186,20,>
4544,house cat,tube television,46,148,<
4545,downhill ski,ski jacket,154,58,>
4546,chopping board,jalapeno pepper,124,34,>
4547,bird,parking stripe,118,43,>
4548,tie,dress hat,62,310,<
4549,space key,computer monitor,0,296,<
4550,whisker,adult zebra,18,154,<
4551,kitchen cabinet,door fridge,74,197,<
4552,doughnut,bottom,89,28,>
4553,stunt plane,stripe,130,19,>
4554,bus window,street lamp,44,244,<
4555,rainbow umbrella,umbrella hat,175,6,>
4556,street bench,sandal,326,27,>
4557,metal fence,jean,238,59,>
4558,door fridge,switch,143,0,>
4559,street banner,road side,34,103,<
4560,underside,plane tail,123,19,>
4561,giraffe spot,range top,24,86,<
4562,mom elephant,ear,565,45,>
4563,computer desk,computer,99,32,>
4564,skateboarder,brick,101,24,>
4565,jet plane,landing wheel,192,9,>
4566,water faucet,restroom sink,3,196,<
4567,woman eye,jacket,1,102,<
4568,building front,marble building,35,144,<
4569,chicken,pasta noodle,192,17,>
4570,tennis netting,tennis ball,227,34,>
4571,computer monitor,desk light,274,50,>
4572,clay tennis court,tennis hat,148,7,>
4573,giraffe horn,grass patch,26,100,<
4574,mash potato,dinner plate,9,104,<
4575,glass window,news van,4,331,<
4576,ski hill,skier hand,194,7,>
4577,gravel,stripe,107,31,>
4578,surfer riding wave,air front,156,34,>
4579,skateboarding shoe,person leg,54,161,<
4580,computer monitor,bunch,115,42,>
4581,christmas tree ornament,teddy bear,39,108,<
4582,sink faucet,mirror,1,101,<
4583,ear,pug,2,101,<
4584,passenger window,door car,21,163,<
4585,vase,window front,39,145,<
4586,couch,cat tail,130,37,>
4587,doubledecker bus,street light,111,19,>
4588,bay horse,horse saddle,281,14,>
4589,computer printer,computer speaker,92,8,>
4590,bush tree,horse leg,163,23,>
4591,fork,pasta,31,111,<
4592,girl riding horse,pant,266,16,>
4593,soup bowl,water glass,341,28,>
4594,base ball player,baseball player number,927,68,>
